image,timestamp,response,pred_label,pred_conf,pred_llm_judge
boat10-truck1,2024-02-04 18:31:20,A red helicopter with a man in it.,airplane,0.9679109,X
oven2-oven3,2024-02-04 18:31:21,A row of microwaves with one open.,oven,0.99173975,X
truck7-chair2,2024-02-04 18:31:21,The image is a blurry photo of a truck with chairs in it.,truck,0.9971469,"G, I"
keyboard6-bear2,2024-02-04 18:31:22,A close up of a keyboard with a cat on it.,cat,0.56116754,"M, H"
clock8-keyboard1,2024-02-04 18:31:22,A clock with a black face and white numbers.,clock,1.0,J
truck8-cat2,2024-02-04 18:31:23,Truck in blurry photo.,truck,1.0,P
elephant9-dog3,2024-02-04 18:31:23,A dog with a brown fur and a black nose.,dog,0.9999815,K
bicycle4-clock3,2024-02-04 18:31:24,A bicycle with a clock on the front.,bicycle,0.96150136,"C, J"
bear4-keyboard3,2024-02-04 18:31:24,A close up of a black and white game controller.,keyboard,0.9507166,X
cat7-truck2,2024-02-04 18:31:25,A red truck with a silver grill.,truck,0.9999999,P
bicycle2-bottle1,2024-02-04 18:31:25,The image is a collage of various bottles and a bicycle.,bottle,0.8501727,"F, G, C"
dog9-airplane3,2024-02-04 18:31:26,A picture of a dog with a hat.,dog,0.99998224,K
boat2-keyboard1,2024-02-04 18:31:26,A blurry image of a broken glass.,bottle,0.9605348,F
clock6-clock2,2024-02-04 18:31:27,A clock with a silver face and black numbers.,clock,1.0,J
knife10-knife1,2024-02-04 18:31:27,A blurry image of a guitar.,airplane,0.7350364,X
dog1-airplane3,2024-02-04 18:31:27,A blurry image of a dog.,dog,0.9999448,K
chair5-oven2,2024-02-04 18:31:28,A black chair with a silver handle.,chair,1.0,I
boat10-cat1,2024-02-04 18:31:28,A cat sleeping on a blanket.,cat,0.9999982,H
keyboard1-dog3,2024-02-04 18:31:29,A dog with black eyes and brown fur.,dog,0.99996614,K
oven8-knife2,2024-02-04 18:31:29,A knife with a black handle and silver blade.,knife,1.0,N
chair9-chair3,2024-02-04 18:31:30,A bunch of blue chairs stacked on top of each other.,chair,0.9999975,I
bird7-keyboard3,2024-02-04 18:31:30,A blurry image of a black object in the foreground.,airplane,0.99362683,X
bicycle3-keyboard1,2024-02-04 18:31:31,A black and white photo of a bicycle.,bicycle,0.9999999,C
oven5-bird1,2024-02-04 18:31:31,A toaster oven with a blue box on top.,oven,1.0,O
bicycle10-elephant2,2024-02-04 18:31:31,A blurry picture of a bike.,bicycle,0.9999795,C
