image,timestamp,response,pred_label,pred_conf,pred_llm_judge
cat4-truck3,2024-01-14 03:37:23,"The image is an abstract painting with a face in the center. The face is made up of different colors and shapes, and it is surrounded by a light background.",airplane,0.8887587,X
cat4-oven1,2024-01-14 03:37:29,The image is a watercolor painting of a cat sitting on a table.,cat,0.99942553,H
cat2-car3,2024-01-14 03:37:35,The image looks like a cat wearing a red cape with a pattern.,cat,0.9999788,H
cat9-truck1,2024-01-14 03:37:41,A red cat is lying on a white surface.,cat,0.9999981,H
cat8-car2,2024-01-14 03:37:47,The image is a colorful and abstract depiction of a person's face.,airplane,0.82862604,X
cat7-knife2,2024-01-14 03:37:54,"The image is of a jumble of metal objects, perhaps tools or machine parts. The objects are rusty and dirty, and the image has a cold, industrial feel to it.",airplane,0.6095073,X
cat5-bottle1,2024-01-14 03:38:00,An image of a cat made out of many pictures of bottles.,bottle,0.9181574,H
cat10-elephant3,2024-01-14 03:38:07,The image is a close up of an elephant's skin with a cat's face superimposed on it.,elephant,0.99456465,"B, H"
cat10-bird2,2024-01-14 03:38:14,A gray cat is lying on a white surface. The cat has long hair and is looking at the viewer.,cat,0.999998,H
cat6-bear1,2024-01-14 03:38:20,The image is a close-up of brown and white fur.,dog,0.8104157,X
cat7-airplane2,2024-01-14 03:38:26,The image is a colorful abstract painting of a cat.,cat,0.9998914,H
cat2-knife3,2024-01-14 03:38:32,The image is an abstract painting of a human face with dark hair. The face is distorted and the colors are muted.,airplane,0.9733776,X
cat9-bottle2,2024-01-14 03:38:38,The image is a bunch of wine bottles.,bottle,0.99999976,F
cat10-bear1,2024-01-14 03:38:44,The image is a close-up of brown fur.,dog,0.8968112,B
cat4-cat3,2024-01-14 03:38:50,A ginger cat is sitting on a white surface. The cat is looking away from the camera.,cat,0.99999666,H
cat9-dog2,2024-01-14 03:38:56,This is a painting of a ginger cat lying on a white fur blanket.,cat,0.99945873,H
cat4-airplane1,2024-01-14 03:39:02,The image is a portrait of a cat made of many different patterns and textures.,cat,0.99998784,H
cat7-clock3,2024-01-14 03:39:07,"The image is a photo of a cat, made up of many clocks.",cat,0.50513256,"H, J"
cat10-clock1,2024-01-14 03:39:13,The image is a colorful and abstract painting of a cat made up of numbers and letters.,cat,0.99983644,H
cat5-dog3,2024-01-14 03:39:19,A dog and a cat are sleeping together.,cat,0.99996996,"H, K"
cat4-dog3,2024-01-14 03:39:25,A close-up of a dog's face.,dog,0.99999225,K
cat3-cat1,2024-01-14 03:39:31,A ginger cat is lying on a white fur blanket. The cat has green eyes and a pink nose.,cat,0.9999404,H
cat2-cat1,2024-01-14 03:39:37,A ginger kitten with blue eyes is sitting on a white blanket.,cat,0.9997516,H
cat5-chair3,2024-01-14 03:39:43,"The image is of an abstract painting. The colors are blue, white, and gray. The shapes are geometric and appear to be floating in space.",airplane,0.98754275,X
cat7-boat3,2024-01-14 03:39:49,"The image is an abstract painting. It has a blue and green background with a large, dark shape in the center. The shape is made up of many smaller shapes and lines, and it looks like a machine or a building.",airplane,0.985784,X
cat1-bird1,2024-01-14 03:39:55,A blue cat looking to the right with one eye closed.,cat,0.99998355,H
cat6-keyboard3,2024-01-14 03:40:01,A black cat is lying on a white surface.,cat,0.9999981,H
cat9-cat3,2024-01-14 03:40:08,The image shows an orange cat lying on a white surface.,cat,0.9999926,H
cat5-knife2,2024-01-14 03:40:14,The image is a cubism-style painting of a cat.,cat,0.9999919,H
cat4-car2,2024-01-14 03:40:20,The image looks like a bunch of toy cars with a red motorcycle in the front.,truck,0.5732081,G
cat5-car2,2024-01-14 03:40:26,The image is an abstract painting. It is made up of bright colors and shapes. There is no clear subject matter.,airplane,0.99456763,X
cat7-elephant1,2024-01-14 03:40:32,The image shows a cat embossed on a snakeskin-like background.,cat,0.9999778,H
cat1-keyboard3,2024-01-14 03:40:38,A black cat wearing sunglasses.,cat,0.9999982,H
cat3-elephant2,2024-01-14 03:40:44,The image shows a close up of an elephant's skin.,elephant,1.0,L
cat3-oven2,2024-01-14 03:40:50,The image is a photograph of a room with a dark wall and a light wall. There is a door in the dark wall and a window in the light wall. There is a desk in the middle of the room.,clock,0.7020112,X
cat5-keyboard3,2024-01-14 03:40:55,A black cat is sitting on a gray laptop.,cat,0.9997608,"H, M"
cat10-airplane3,2024-01-14 03:41:01,The image is a watercolor painting of a fish.,boat,0.6386188,X
cat1-boat1,2024-01-14 03:41:08,The image is a colorful abstract painting of a cat.,cat,0.9998914,H
cat3-truck3,2024-01-14 03:41:14,The image is a colorful abstract painting.,airplane,0.9794988,X
cat10-bicycle1,2024-01-14 03:41:20,The image is a photo of a motorcycle engine.,airplane,0.60732764,X
cat2-elephant1,2024-01-14 03:41:26,The image shows a cat made of elephant skin.,elephant,0.9436446,"H, L"
cat1-dog1,2024-01-14 03:41:32,The image is a close-up of a cat's face. The cat has brown fur and green eyes. The background is a blur of light brown fur.,cat,0.99999607,H
cat6-oven1,2024-01-14 03:41:38,The image is a black and white photo of a cat.,cat,0.9999777,H
cat9-boat2,2024-01-14 03:41:45,This is an abstract painting. It has bright red and orange colors. There are a lot of lines and shapes in the painting. It looks like a bunch of different objects put together.,airplane,0.8522768,X
cat8-bicycle3,2024-01-14 03:41:50,A photo of a kitten with artistic effects applied to it.,cat,0.9988894,X
cat6-clock3,2024-01-14 03:41:56,A clockwork cat is sitting on a reflective surface.,cat,0.9984114,H
cat4-keyboard2,2024-01-14 03:42:02,A black cat is sitting on a gray carpet.,cat,0.9998155,H
cat10-bottle1,2024-01-14 03:42:08,The image is a bunch of liquor bottles.,bottle,1.0,F
cat5-elephant2,2024-01-14 03:42:14,The image shows a cat curled up and sleeping on a leather surface.,cat,0.99999344,H
cat2-boat2,2024-01-14 03:42:20,The image is a cubism-style painting of a cat.,cat,0.9999919,H
cat9-bird3,2024-01-14 03:42:27,A brown cat is lying on a white surface. The cat has green eyes and a long tail.,cat,0.9999968,H
cat6-chair3,2024-01-14 03:42:33,The image is of many chairs of a light blue color. The chairs are all jumbled up and there is no order to them. The background is a sandy color.,chair,0.9998431,I
cat9-bicycle1,2024-01-14 03:42:39,The image is a photo of a motorcycle.,airplane,0.6431718,X
cat10-oven2,2024-01-14 03:42:46,Abstract painting in muted colors.,airplane,0.86593264,X
cat1-car2,2024-01-14 03:42:52,The image is an abstract painting of a cat.,cat,0.9999801,H
cat4-bird2,2024-01-14 03:42:58,A black cat is sitting on a gray rock. The cat has green eyes and is looking to the left. The background is gray and white.,cat,0.9999728,H
cat5-bear2,2024-01-14 03:43:05,A ginger cat is lying on a white carpet.,cat,0.9999982,H
cat8-bear1,2024-01-14 03:43:10,The image is a close-up of a brown cat's face.,cat,0.9999887,H
cat5-airplane2,2024-01-14 03:43:16,The image is a colorful abstract painting. It has a blue background with a large gray and yellow shape in the center. The shape is made up of many smaller brushstrokes of different colors.,airplane,0.9804334,X
cat9-clock2,2024-01-14 03:43:22,The image is a depiction of a cat sleeping.,cat,0.99999774,H
cat10-keyboard1,2024-01-14 03:43:28,Black and white image of a tire tread.,bicycle,0.95251065,X
cat1-chair2,2024-01-14 03:43:35,"The image is of a room full of chairs. The chairs are all made of wood and are of different styles. The chairs are arranged in a haphazard manner, with some chairs stacked on top of others. The image is blurry and pixelated, making it difficult to see the details of the chairs.",chair,0.9999844,I
cat3-bicycle1,2024-01-14 03:43:41,The image is a photo of a cat lying on a pile of scrap metal.,cat,0.999967,H
cat1-airplane1,2024-01-14 03:43:47,A cat's face is depicted in the image. The cat has green eyes and grey fur. The background is white with strips of red.,cat,0.9999995,H
cat2-truck3,2024-01-14 03:43:53,The image is an abstract painting of a cat.,cat,0.9999801,H
cat7-bottle1,2024-01-14 03:43:59,The image is a photomosaic of bottles. The bottles are arranged in the shape of the state of Texas.,bottle,0.99999976,F
cat4-clock2,2024-01-14 03:44:06,The image is a clock with a cat's face.,clock,0.96681625,"J, H"
cat5-boat1,2024-01-14 03:44:11,The image is an abstract painting with bright colors.,airplane,0.9735811,X
cat5-bicycle3,2024-01-14 03:44:19,A pink and white cat is lying on a red blanket.,cat,0.99999833,H
cat9-knife2,2024-01-14 03:44:25,A black cat is lying on a pile of metal scraps.,cat,0.99998784,H
cat4-chair2,2024-01-14 03:44:31,The image looks like a bunch of chairs stacked together.,chair,0.99999523,I
cat1-oven1,2024-01-14 03:44:37,The image is a black and white photo of a cat.,cat,0.9999777,H
cat7-truck2,2024-01-14 03:44:42,The image is an abstract painting of a red truck.,truck,0.9999988,P
cat4-knife1,2024-01-14 03:44:49,The image is a portrait of a man with dark skin and black hair. He is wearing a black suit and tie. The background is a light brown color. The man's face is partially obscured by a mask.,airplane,0.26381114,X
cat1-cat3,2024-01-14 03:44:54,The image is a sepia toned painting of a cat looking to the right.,cat,0.99993193,H
cat3-bear2,2024-01-14 03:45:00,A gray cat is lying on a white carpet.,cat,0.99999845,H
cat8-bird2,2024-01-14 03:45:06,A gray kitten is looking at the camera.,cat,0.9999478,H
cat2-bottle3,2024-01-14 03:45:12,The image is a green cat made out of leaves. The background is white with a bunch of green and white objects.,cat,0.999843,H
cat7-dog3,2024-01-14 03:45:18,A ginger cat is sleeping on a white fur blanket.,cat,0.99993646,H
cat9-chair2,2024-01-14 03:45:24,The image is of a room filled with chairs. The chairs are all different styles and colors. The room is dimly lit and the chairs are arranged in a haphazard manner.,chair,0.9999989,I
car3-dog2,2024-01-14 03:45:30,The image shows a yellow car on a fur background.,car,0.9975969,G
car6-truck3,2024-01-14 03:45:36,The image is a watercolor painting of a white car.,car,0.99874085,G
car7-oven2,2024-01-14 03:45:41,The image is a photo of a black car with a large wing on the back.,airplane,0.7650994,G
car8-dog1,2024-01-14 03:45:48,The image looks like a car covered in fur.,car,0.99598545,G
car8-chair1,2024-01-14 03:45:54,The image is a bunch of pink and black sports cars.,car,0.9976624,G
car8-boat3,2024-01-14 03:45:59,The image is a red and blue car.,car,0.99976295,G
car3-bird2,2024-01-14 03:46:05,The image is a painting of a silver Lamborghini Aventador.,car,0.98584116,G
car8-knife2,2024-01-14 03:46:11,The image is of a black and red sports car.,car,0.9995765,G
car5-cat1,2024-01-14 03:46:17,A brown furry creature is lying on a white furry surface.,dog,0.9567494,B. bear
car4-cat3,2024-01-14 03:46:23,The image is a close-up of a brown and gold toy car. The car is sitting on a white surface.,car,0.991071,G
car5-bear3,2024-01-14 03:46:29,The image looks like a sepia-toned photo of a Volkswagen Beetle.,car,0.95470923,G
car5-knife2,2024-01-14 03:46:35,A red car with a white license plate is parked on a brick street. The car is old and rusty.,truck,0.68252206,G
car8-bear1,2024-01-14 03:46:41,The image is a close-up of a brown fur coat.,dog,0.8847877,X
car10-dog1,2024-01-14 03:46:47,The image is a close-up of a spider's abdomen.,knife,0.7592447,X
car4-bicycle3,2024-01-14 03:46:53,The image is the inside of a car engine.,car,0.9938101,X
car2-car3,2024-01-14 03:46:58,The image is a photo of a red car.,car,0.99981815,G
car8-clock2,2024-01-14 03:47:04,The image is a painting of a red sports car.,car,0.9993175,G
car1-oven3,2024-01-14 03:47:10,"The image is a photo of a kitchen counter. There is a coffee maker, toaster, and other small appliances on the counter. The cabinets are white and the countertops are black.",oven,0.8500745,X
car10-chair1,2024-01-14 03:47:16,A pink car on a pink background with a white outline.,car,0.9993549,G
car3-truck1,2024-01-14 03:47:22,A red Lamborghini Aventador SVJ Roadster is sitting on a road with the doors open.,car,0.99921,G
car3-boat1,2024-01-14 03:47:27,The image is a painting of a red and blue sports car.,car,0.9973688,G
car10-car1,2024-01-14 03:47:33,The image is a colorful abstract painting of a red car.,car,0.9998049,G
car3-airplane3,2024-01-14 03:47:39,The image is a painting of a blue and silver sports car.,car,0.9952135,G
car5-bottle1,2024-01-14 03:47:45,The image is a photomosaic of a red Volkswagen Beetle.,car,0.9756832,G
car7-airplane2,2024-01-14 03:47:50,The image is of a blue and yellow futuristic car.,car,0.9994967,G
car8-bicycle2,2024-01-14 03:47:57,The image is a photo of a silver sports car.,car,0.9989458,G
car4-boat1,2024-01-14 03:48:03,The image is an abstract painting of a red car.,car,0.9998294,G
car2-bird3,2024-01-14 03:48:10,The image is a painting of a wrecked car.,car,0.98629797,G
car10-elephant2,2024-01-14 03:48:15,The image shows a close-up of an elephant's skin.,elephant,1.0,L
car6-bottle1,2024-01-14 03:48:21,The image is a photomosaic of a silver car made out of liquor bottles.,bottle,0.9933895,"G, F"
car4-car2,2024-01-14 03:48:27,The image is a red and yellow sports car.,car,0.99934584,G
car3-elephant3,2024-01-14 03:48:33,The image shows a close-up of an elephant's skin with a car imprinted on it.,elephant,0.99977463,G
car1-keyboard2,2024-01-14 03:48:40,A black and white photo of a typewriter.,keyboard,0.80709374,M
car4-bear3,2024-01-14 03:48:46,The image is a close up of a brown and black tarantula.,airplane,0.54012907,X
car5-keyboard3,2024-01-14 03:48:52,A photo of a black calculator.,airplane,0.39606562,X
car10-bottle3,2024-01-14 03:48:58,A green car is covered in Japanese writing.,car,0.99943715,G
car7-elephant3,2024-01-14 03:49:04,The image shows a close-up of an elephant's skin with a car superimposed on it.,elephant,0.99958986,G
car9-truck3,2024-01-14 03:49:10,The image is a watercolor painting of a yellow Mini Cooper car.,car,0.99244046,G
car2-chair1,2024-01-14 03:49:16,The image is a photo of a car. The car is pink and black. The car is parked in a parking lot.,car,0.9996915,G
car9-bird1,2024-01-14 03:49:22,The image is a photo of a Mini Cooper car.,car,0.9995586,G
car3-bottle3,2024-01-14 03:49:27,The image is a green car made of glass. The car is in front of a white background.,car,0.9992743,G
car4-elephant3,2024-01-14 03:49:33,The image shows a fossil of a frog embedded in a rock.,elephant,0.42998138,X
car2-knife3,2024-01-14 03:49:39,The image is a photograph of a camera lens.,airplane,0.96018374,X
car9-bicycle2,2024-01-14 03:49:45,The image is a photo of a Mini Cooper Countryman.,car,0.9784266,G
car7-clock1,2024-01-14 03:49:51,The image is a painting of a car. The car is in the center of the image and is surrounded by clocks.,car,0.6287488,G
car2-cat3,2024-01-14 03:49:57,The image is an abstract painting of a car.,car,0.9997776,G
car4-bird1,2024-01-14 03:50:02,The image is a blue and white sports car.,car,0.99938905,G
car9-cat1,2024-01-14 03:50:08,"The image looks like a photo of a brown furry animal, possibly a dog or a cat, sleeping on a white furry blanket.",cat,0.6095815,"H, K"
car8-cat1,2024-01-14 03:50:15,A cat is sleeping on a white carpet.,cat,0.9999994,H
car7-bear1,2024-01-14 03:50:20,The image is of a brown dog sleeping on a fur blanket.,dog,0.9359919,H
car9-clock2,2024-01-14 03:50:27,The image is a Mini Cooper car.,car,0.9993631,G
car4-clock1,2024-01-14 03:50:32,The image is a painting of a brain. The brain is depicted as a clock.,clock,0.9999999,J
car4-bottle1,2024-01-14 03:50:38,The image is a mosaic of many different images of liquor bottles.,bottle,0.99999964,F
car7-keyboard3,2024-01-14 03:50:45,The image shows a black toy car on a white surface.,car,0.95128345,G
car5-oven2,2024-01-14 03:50:51,The image is of the front of a vintage car with a partial view of the windshield.,car,0.9986706,G
car1-chair3,2024-01-14 03:50:56,"The image is a blue, pixelated mess.",airplane,0.9334744,X
car7-boat3,2024-01-14 03:51:02,The image is of a futuristic car with a green and red body and a black roof. The car is surrounded by a colorful background.,car,0.99986684,G
car10-keyboard2,2024-01-14 03:51:08,Black handgun on a table.,airplane,0.6092695,X
car1-car2,2024-01-14 03:51:14,The image is of a red and black sports car.,car,0.9996437,G
car7-bird3,2024-01-14 03:51:20,The image is a painting of a red and brown sports car.,car,0.9996344,G
car1-clock2,2024-01-14 03:51:26,The image shows a car.,car,0.9990101,G
car8-airplane3,2024-01-14 03:51:32,The image is a colorful 3D rendering of a futuristic sports car.,car,0.99698037,G
car3-oven3,2024-01-14 03:51:38,The image is a photo of a gas station.,airplane,0.71118027,X
car1-dog2,2024-01-14 03:51:44,The image is a close-up of a fur coat.,dog,0.66674024,X
car6-elephant3,2024-01-14 03:51:50,The image shows a close up of an elephant's skin with a marking that resembles a flower.,elephant,0.9999995,L
car9-knife1,2024-01-14 03:51:55,The image is a painting of a brown and white Mini Cooper car.,car,0.99946016,G
car10-bicycle2,2024-01-14 03:52:02,The image is a photo of a silver car.,car,0.9997961,G
car6-bear1,2024-01-14 03:52:08,The image is a close up of brown fur.,dog,0.9153502,B
car6-boat1,2024-01-14 03:52:13,The image is an abstract painting of a car.,car,0.9997776,G
car4-oven2,2024-01-14 03:52:19,The image is a close-up of the front of a black retro car.,car,0.9992975,G
car7-dog3,2024-01-14 03:52:25,This is a close-up picture of a tarantula.,airplane,0.42188814,X
car5-airplane3,2024-01-14 03:52:32,The image shows a front view of a brown vintage car with a white background.,car,0.99828845,G
car6-knife1,2024-01-14 03:52:38,The image is a close-up of the front wheel of a Mercedes Benz.,bicycle,0.63662696,G
car5-truck3,2024-01-14 03:52:44,The image shows a yellow car.,car,0.998278,G
car6-chair3,2024-01-14 03:52:50,The image looks like a bunch of blue and white blocks stacked together.,airplane,0.8722931,X
car7-car1,2024-01-14 03:52:56,The image is an abstract painting of a red car.,car,0.9998294,G
car1-airplane1,2024-01-14 03:53:02,The image is a photo of a car.,car,0.99980074,G
car9-keyboard2,2024-01-14 03:53:08,A black rotary phone.,clock,0.5416789,F
car6-bicycle3,2024-01-14 03:53:14,A pink and gray image of a car's wheel and part of its body.,car,0.99598795,G
car8-truck3,2024-01-14 03:53:20,The image is a yellow car with blue seats.,car,0.9953117,G
dog3-elephant2,2024-01-14 03:53:26,"The image is a depiction of a person with long hair, possibly screaming. The background is beige and the foreground is brown.",clock,0.43086627,X
dog4-bicycle1,2024-01-14 03:53:32,The image is a photo of a bunch of metal scraps that are formed into the shape of a human head.,airplane,0.92895013,X
dog10-airplane1,2024-01-14 03:53:38,A collage of a black dog made of newsprint.,dog,0.9975896,K
dog5-truck2,2024-01-14 03:53:43,The image is an abstract painting. It has a red and white color scheme. There are geometric shapes throughout the painting.,airplane,0.8277042,X
dog3-boat1,2024-01-14 03:53:51,"The image is an abstract painting of a person's face. The face is made up of many different colors, and the person is wearing a blue and red hat. The background is a light blue color.",bottle,0.46975002,X
dog10-car3,2024-01-14 03:53:56,A photo of a dog in a red scarf sitting in a red car.,car,0.95892775,G
dog2-dog3,2024-01-14 03:54:03,The image is a close-up of a white dog's face. The dog has brown eyes and brown fur on its ears and around its nose.,dog,0.9984876,"H, K"
dog3-clock1,2024-01-14 03:54:09,A clockwork dog sits in front of a colorful background.,clock,0.830268,K
dog3-dog1,2024-01-14 03:54:15,The image is a painting of a brown dog with long hair. The dog is lying down on a white fur blanket.,dog,0.9966022,K
dog4-cat3,2024-01-14 03:54:21,The image is a side profile of a brown dog.,dog,0.99992394,K
dog10-oven2,2024-01-14 03:54:27,A black panther is lying on a wooden floor.,elephant,0.6305092,X
dog9-airplane3,2024-01-14 03:54:32,A painting of a black dachshund wearing a harness.,dog,0.9811593,H
dog10-clock1,2024-01-14 03:54:38,The image shows a brown dog lying down.,dog,0.9999229,K
dog9-bottle1,2024-01-14 03:54:44,The image is of a dog made out of bottles. The background is a bunch of different colored bottles.,bottle,0.99936885,"F, K"
dog8-dog3,2024-01-14 03:54:50,The image shows a dog with long brownish-red fur standing on a white surface.,dog,0.9994343,H
dog3-bear3,2024-01-14 03:54:56,The image is a depiction of a dog made of fur.,dog,0.999726,H
dog7-oven2,2024-01-14 03:55:02,The image is a photo of a person in a black suit.,airplane,0.91790974,X
dog3-knife3,2024-01-14 03:55:09,A black dog with a long snout is lying down. The dog has a white patch of fur on its chest and white paws. The background is grey and white.,dog,0.9999479,K
dog8-bear3,2024-01-14 03:55:14,A photo of an elephant from behind.,elephant,1.0,L
dog6-clock1,2024-01-14 03:55:21,The image is a colorful portrait of a boxer dog.,dog,0.9915379,K
dog8-boat3,2024-01-14 03:55:27,The image is an abstract painting of an elephant.,elephant,1.0,L
dog9-car1,2024-01-14 03:55:33,An abstract painting of a red car.,car,0.9999119,G
dog3-bird2,2024-01-14 03:55:39,A black Labrador Retriever puppy is sitting on a white surface. The puppy is looking at the camera with its mouth slightly open.,dog,0.9998921,X
dog5-bear3,2024-01-14 03:55:46,The image is a close-up of a brown dog's face.,dog,0.9999727,K
dog5-boat3,2024-01-14 03:55:52,The image is a colorful portrait of a person. The colors are vibrant and the image has a lot of detail.,airplane,0.8350446,X
dog4-elephant2,2024-01-14 03:55:58,The image is a sepia toned etching of a Shar Pei dog in profile.,dog,0.99785894,H
dog2-bicycle2,2024-01-14 03:56:04,The image is a close-up of a motorcycle engine.,airplane,0.55792135,X
dog10-dog1,2024-01-14 03:56:10,"The image is a seamless pattern of long, wavy, light brown fur.",dog,0.8235578,X
dog5-car3,2024-01-14 03:56:16,The image is a photo of a red car.,car,0.99981815,G
dog10-bottle1,2024-01-14 03:56:23,The image is a mosaic of a dog made out of pictures of bottles of alcohol.,bottle,0.9935135,F
dog8-keyboard3,2024-01-14 03:56:29,A black suitcase sits on a reflective surface.,airplane,0.9990728,X
dog4-bird1,2024-01-14 03:56:35,A grayscale image of a dog.,dog,0.99997914,K
dog4-chair1,2024-01-14 03:56:42,Red velvet theater seats.,chair,0.99865484,X
dog9-chair2,2024-01-14 03:56:48,The image is of a wooden chair in front of a stone building.,chair,0.9999907,I
dog4-airplane3,2024-01-14 03:56:53,The image is of a dog wearing a welding mask.,dog,0.99987006,K
dog9-bear3,2024-01-14 03:56:59,The image is a photo of a llama.,elephant,0.9746174,X
