image,response,timestamp,pred_label,pred_conf,pred_llm_judge
bicycle4-keyboard3,A close up of a bicycle chain.,,bicycle,0.9999999,C
bicycle8-bear2,"A bicycle is seen in a blurry photo, with the front wheel and handlebars being the most prominent features. The bike is parked on a white surface, and the background is blurry.",,bicycle,0.9999999,C
bicycle1-dog3,A bicycle is parked on a sidewalk.,,bicycle,1.0,C
bicycle7-oven1,A bicycle is displayed on a white background.,,bicycle,1.0,C
bicycle9-airplane2,A bicycle with a yellow frame and blue wheels.,,bicycle,1.0,C
bicycle4-chair2,"The image is a painting of a staircase with a large number of wooden chairs on it. The chairs are arranged in various positions, some leaning against each other and others standing upright. The chairs are of different sizes and are placed all over the staircase, creating a visually interesting scene.",,chair,0.99989164,I
bicycle10-airplane2,A blue bicycle with a yellow wheel is parked on a sidewalk.,,bicycle,0.9999999,C
bicycle4-bottle1,"The image features a bicycle made out of various bottles, including liquor bottles. The bottles are arranged to form the shape of a bicycle, with some bottles placed on the ground and others stacked on top of each other. The bicycle is surrounded by numerous bottles, creating a visually striking and unique display.",,bottle,0.9608715,"C, F"
bicycle9-bottle1,A bike made of bottles and cans.,,bottle,0.8725132,C
bicycle4-oven3,A blurry image of a bicycle with a black seat.,,bicycle,0.9999943,C
bicycle2-car2,The image is a blurry photo of a car and a motorcycle.,,car,0.9952171,"G, P"
bicycle1-bicycle3,"The image features a bicycle with a basket on the front. The bike is parked on a dirt road, and the basket is filled with items. The scene appears to be in a field, and the bike is the main focus of the image.",,bicycle,0.99999964,C
bicycle10-elephant2,A bicycle wheel is shown in the image.,,bicycle,1.0,C
bicycle9-keyboard3,Two cell phones are sitting next to each other.,,airplane,0.9794908,X
bicycle8-boat1,A bicycle with a blurry background.,,bicycle,1.0,C
bicycle8-clock3,A bicycle is made out of clocks.,,bicycle,0.9865963,C
bicycle7-truck3,"A bicycle is in the background, with a blurry image of a person riding it. The bicycle is surrounded by a colorful and abstract environment, which includes a chair and a couch. The scene appears to be a mix of different elements, creating a unique and interesting visual experience.",,bicycle,0.9999753,"C, I"
bicycle9-bird3,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle3-keyboard1,"A bicycle is shown in a close-up view, with its front wheel and handlebars prominently visible. The bike appears to be a child's bicycle, and the tire is black. The handlebars are positioned at the top of the image, while the front wheel is located at the bottom. The overall scene is blurry, giving the image a slightly distorted appearance.",,bicycle,1.0,C
bicycle1-boat3,The image is a colorful and abstract painting of a bicycle.,,bicycle,1.0,C
bicycle3-elephant2,A motorcycle with a sidecar is parked on a dirt road.,,truck,0.97845536,X
bicycle9-cat3,"A bicycle is shown in a blurry image, with its front wheel and handlebars visible. The bike is parked on a sidewalk, and there is a basket on the front.",,bicycle,1.0,C
bicycle4-clock3,"A bicycle is depicted in a clock-themed image, with the clocks on the bike's frame and wheels. The clocks are scattered throughout the scene, creating a unique and artistic representation of the bicycle.",,bicycle,0.9313138,"C, J, I"
bicycle4-airplane1,"The image is a close-up of a bicycle wheel with a blurry background. The wheel is white and has a red and white stripe. The background is a mix of white and black, with some text visible.",,bicycle,0.9999981,C
bicycle1-bear1,"A bicycle is shown in a blurry image, with the front wheel being the most prominent. The bicycle is parked in a field, and the background is blurry.",,bicycle,0.9999999,C
bicycle5-car3,"A red motorcycle is parked in front of a building, with a car and a truck visible in the background. The motorcycle is surrounded by a blurry, colorful environment, giving the scene a surreal appearance.",,truck,0.97878885,X
bicycle9-knife3,A black and white image of two bicycle locks.,,bicycle,0.9999691,C
bicycle9-chair1,A room full of red chairs with a blurry bicycle in the center.,,chair,0.9002553,"I, C"
bicycle8-truck1,A red bicycle with a black frame is displayed in a red and white background. The bike has a basket on the front and is positioned in front of a red and white wall.,,bicycle,1.0,C
