image,response,timestamp,pred_label,pred_conf,pred_llm_judge
bicycle4-keyboard3,A camera sitting on a table with its lens open and showing all of the buttons and controls.,,airplane,0.6824191,X
bicycle8-bear2,blurriness and a cat are in this picture,,cat,0.99999607,H
bicycle1-dog3,The picture is of a bicycle with red handles and seat on a fuzzy background.,,bicycle,0.99999917,C
bicycle7-oven1,A blurry photo of a pair of glasses on a shelf with a white background.,,bottle,0.99092156,X
bicycle9-airplane2,The bike is yellow and blue in color.,,bicycle,0.9999987,C
bicycle4-chair2,"In words or a sentence, describe what you see in this image.",,airplane,0.6386099,X
bicycle10-airplane2,A bicycle is shown in a photo with a blue background.,,bicycle,1.0,C
bicycle4-bottle1,"This is a picture of a bicycle made out of liquor bottles and shot glasses, it has been decorated with various types of alcohol.",,bicycle,0.9416117,"C, F"
bicycle9-bottle1,"In a room, there are two bicycles made out of bottles and other things on them.",,bottle,0.55250365,"C, F"
bicycle4-oven3,"Is it blurry? Yes, it is very blurry.",,airplane,0.7826538,X
bicycle2-car2,blurrily colored objects in a photo that is out of focus,,airplane,0.8506836,X
bicycle1-bicycle3,This is a picture of many bicycles on display in front of a building.,,bicycle,1.0,C
bicycle10-elephant2,A picture of a bicycle on wood that is brown and black in color.,,bicycle,0.99998784,C
bicycle9-keyboard3,This is a picture of an object that has been sliced in half with a knife on top of a table.,,knife,0.9999137,X
bicycle8-boat1,A bicycle with a blue seat and handlebars on it is parked in front of another bike.,,bicycle,1.0,C
bicycle8-clock3,The bike is made out of different clocks and has a seat that looks like an upside down V.,,bicycle,0.9776807,C
bicycle7-truck3,The reflection of a bike in a mirror with an orange and blue color scheme.,,bicycle,0.99999857,C
bicycle9-bird3,An artistic photo of a bicycle with white background and paint strokes.,,bicycle,0.99999845,C
bicycle3-keyboard1,The bike is in black and white picture on a stand.,,bicycle,0.9998307,C
bicycle1-boat3,A bike is shown in a picture with many colors and designs on it.,,bicycle,0.999998,C
bicycle3-elephant2,A bicycle relief sculpture on a wall with lines around it.,,bicycle,0.99999964,C
bicycle9-cat3,The picture is of a bicycle with no one on it and has flowers next to it.,,bicycle,0.9999999,C
bicycle4-clock3,"A bicycle made out of clocks and watch parts with a clock face on it's seat, handle bars and wheels.",,bicycle,0.9947015,"C, J"
bicycle4-airplane1,A picture of a fighter jet with many pictures on it and one in front that is upside down.,,airplane,0.99999964,X
bicycle1-bear1,The lion is laying down with her cubs.,,bear,0.9508329,X
bicycle5-car3,A red bicycle with a car in the background and another reflection of a bike on it's side mirror.,,bicycle,0.99997985,"C, G"
bicycle9-knife3,A close up of a pair of stirrups for horse riding gear.,,bicycle,0.4719246,X
bicycle9-chair1,A blurry picture of a bunch of chairs in an auditorium.,,chair,0.99997735,I
bicycle8-truck1,Red bicycle with a basket on it sitting in front of a red wall.,,bicycle,1.0,C
bicycle2-dog1,The dog has long hair and is brown in color.,,dog,0.99998987,K
bicycle3-bird1,blurring of a motorcycle and rider on road.,,bicycle,0.4339128,X
bicycle2-knife2,The guns are on top of each other and there is a pile of newspapers under them.,,airplane,0.9341547,X
bicycle9-bear1,"The lion is laying down with its eyes closed and mouth open, possibly sleeping or just resting.",,cat,0.52073216,X
bicycle3-truck3,A picture of a scooter with yellow and blue colors.,,boat,0.8721167,X
bicycle7-cat1,A bicycle laying on top of a pile of fur.,,bicycle,0.9999471,C
bicycle1-bird1,blurrily seen bicycle on a road in front of building,,bicycle,0.9999999,C
bicycle5-keyboard3,A close up of a watch with black and white numbers on it.,,clock,0.999949,J
bicycle8-bird2,A bicycle with a silver frame and black seat is shown in an artistic painting.,,bicycle,0.9999994,C
bicycle10-dog3,The dog has a pair of glasses on it's face and there is an orange bird sitting on top of its head.,,bird,0.6860768,"D, K"
bicycle5-elephant1,The drawing of a bicycle on a wall.,,bicycle,0.99999976,C
bicycle7-clock3,A bicycle is made out of clocks and a clock face on the ground.,,bicycle,0.9930346,"C, J"
bicycle9-car1,The bike is in front of a colorful background and has a basket on it.,,bicycle,1.0,C
bicycle1-airplane2,"The picture is of a bike with no rider and has yellow, blue and white colors.",,bicycle,0.9999938,C
bicycle7-knife2,The bike is black and silver in color with a red seat on it.,,bicycle,0.9999739,C
bicycle7-elephant2,A drawing of a bicycle on stone with two wheels and handlebars.,,bicycle,0.99999905,C
bicycle5-oven3,A machine with a lot of buttons and controllers on it.,,keyboard,0.98711896,X
bicycle2-bird3,"Each object is described as ""X in Y"". 
The bike has three gears and a bell on it.",,bicycle,0.99996746,C
bicycle10-boat3,There is a bicycle in front of some buildings and it has two wheels on back instead of one wheel up front.,,bicycle,1.0,C
bicycle8-chair2,A bunch of chairs sitting in a room with one bike on display.,,chair,0.9924299,"I, G"
bicycle6-dog2,A toy bike on a fuzzy blanket.,,bicycle,0.99641573,C
bicycle10-clock2,A bicycle is shown with a clock in front of it.,,bicycle,0.96601725,"C, J"
bicycle4-truck3,A blurry picture of a motorcycle with a helmet hanging on it's side stand.,,airplane,0.64882183,X
bicycle6-boat2,The tricycle is in front of a city scene and has red fenders on it.,,bicycle,0.9997968,X
bicycle4-cat1,The cat is sleeping on a bed with another animal.,,cat,0.9999963,H
bicycle7-bear2,blurriness自行车模糊,,keyboard,0.660035,C
bicycle4-car2,The picture is a photo of two motorcycles with different colors and designs on them.,,bicycle,0.7786599,X
bicycle5-bear1,The cat is laying down on a white surface and looking at something that has caught its attention.,,cat,0.999997,H
bicycle1-bottle3,麻痹的自行车,,cat,0.6188497,X
bicycle1-oven1,The photo is of a bunch of clear glass items on display behind plexiglass.,,bottle,0.7663678,X
bicycle1-clock3,A bicycle with a clock for wheels and handlebars.,,bicycle,0.9909952,"I, J"
bicycle4-boat1,blury bike wheel with many spokes and a lot of colors,,bicycle,0.99999917,C
bicycle5-dog2,A fuzzy picture of a bicycle with wheels and handlebars.,,bicycle,0.99999976,C
bicycle3-oven3,blurriness in a room with electronics and machines.,,clock,0.44967458,X
bicycle2-keyboard2,The image is a picture of two metal brackets on top of each other with numbers and letters in the background.,,clock,0.65770227,X
bicycle4-bicycle3,The bicycle is in a group of other bicycles.,,bicycle,1.0,C
bicycle5-chair2,The city is made out of wood and has a lot of chairs.,,chair,0.99999964,I
bicycle5-cat1,"The cat is sleeping on a bed with its eyes closed and head turned to one side, while two birds are perched nearby. One of them is green and white, and the other is brown and black. There's also an orange object next to the bird that looks like fur or hair.",,cat,0.9687819,X
bicycle6-car2,A photo of a car with many colors and reflections on it.,,car,0.99989176,G
bicycle1-knife3,This is a picture of three bicycles hanging on hooks in front of a white wall. The bikes are facing different directions and have no riders.,,bicycle,0.99999964,C
bicycle6-cat1,The cat is sleeping on a fluffy white blanket.,,cat,0.99999154,H
bicycle6-bicycle3,"I am sorry, I cannot do that because there is no existence of a bike in any of the captions provided. Please provide me with more information so that I can assist you better. 

Is it a bicycle?",,bicycle,0.999997,C
bicycle1-elephant2,The drawing of a bicycle on wood is shown in detail.,,bicycle,0.999949,C
bicycle6-airplane2,A picture of a fighter jet with some motion blur on it,,airplane,0.9999994,A
bicycle2-bicycle1,A bicycle with a black seat and silver fender in front of many other bicycles.,,bicycle,0.99999785,C
bicycle5-bottle3,The bicycle is made of green glass and sits on a bed of money.,,bicycle,0.99999964,C
bicycle1-truck1,The image is a painting of two red bikes on display in front of people and buildings.,,bicycle,0.999979,C
bicycle7-bicycle2,A bicycle is shown in a photo with many bikes around it.,,bicycle,1.0,C
bicycle2-bottle1,A bar with a lot of alcohol on it and two clocks in view.,,clock,0.99998975,X
bicycle4-knife3,A pair of scissors is shown on a white background.,,knife,0.999889,X
chair8-bicycle3,The saxophone is sitting in a pile of many ties.,,chair,0.9653676,X
chair1-airplane2,A chair with a blue and yellow seat on top of it.,,chair,0.9999999,I
chair4-bear2,The bear is sitting in a tub of water and soap.,,bear,0.9998271,B
chair10-car2,A bunch of different cars are shown in a reflection.,,car,0.999736,G
chair9-bicycle3,The chair is made of metal and has a red cushion on it.,,chair,1.0,I
chair5-bicycle1,"The city is in chaos and order, as well as the metal object on top of it.",,airplane,0.983657,X
chair2-bear2,The back of a white dog with it's tail curled up around its neck and leg.,,dog,0.9992937,H
chair7-bottle1,"This is a chair made out of bottle caps and liquor bottles,",,chair,0.86025995,"I, F"
chair1-truck3,A chair with a vase on it in front of other chairs and vases.,,chair,0.9999993,I
chair5-knife3,A pair of scissors and a comb are in front of an open drawer.,,knife,0.99736315,X
chair3-bicycle3,A large number of bicycles are in a rack and on the ground around it.,,bicycle,0.99999976,C
chair1-chair1,A blurry picture of a theater with pink seats and one red seat in front.,,airplane,0.77907497,X
chair8-boat1,The picture is of a giraffe standing in front of some buildings and cars.,,elephant,0.9788807,X
chair9-bird3,The chair is made of a shiny material and has wheels on it for easy movement.,,chair,0.9999999,I
