image,timestamp,response,pred_label,pred_conf,pred_llm_judge
airplane4-bicycle2,2024-01-27 09:26:49,'A blurry image of a bunch of chairs',chair,0.9999994,I
chair10-oven1,2024-01-27 09:26:53,'A painting of a chair with a black seat.',chair,0.99999976,I
keyboard4-cat2,2024-01-27 09:26:56,'A blurry photo of a furry animal',dog,0.9020297,B
oven7-oven1,2024-01-27 09:27:00,'A stainless steel oven in a commercial kitchen',oven,1.0,O
truck3-bicycle1,2024-01-27 09:27:03,'A painting of a motorcycle with a man on it',airplane,0.4302292,X
chair4-chair3,2024-01-27 09:27:06,'A bunch of blue chairs in a room.',chair,0.9999999,I
bird5-dog2,2024-01-27 09:27:09,'A painting of a bird sitting on a branch.',bird,0.99991155,D
clock8-boat1,2024-01-27 09:27:13,'A painting of a watch with a blue and red second hand.',clock,0.98799103,X
dog4-chair1,2024-01-27 09:27:16,'A bunch of pink chairs in a room',chair,0.99999964,I
truck2-bicycle2,2024-01-27 09:27:19,'A distorted image of a truck in a painting.',truck,0.9999925,P
truck10-bicycle1,2024-01-27 09:27:23,'An artistic image of a car in a city.',car,0.999861,G
oven6-elephant2,2024-01-27 09:27:26,"""A close up of a painting of a woman's vagina.""",bottle,0.599584,X
car8-clock2,2024-01-27 09:27:29,'A painting of a car on a white background.',car,0.9997819,G
bicycle10-elephant2,2024-01-27 09:27:33,'A blurry image of a bike on a blurry background',bicycle,0.99993265,C
boat2-oven3,2024-01-27 09:27:37,'A blurry image of a painting of a city',airplane,0.9180632,X
airplane4-boat3,2024-01-27 09:27:39,'An abstract painting of a man flying a plane.',airplane,1.0,A
dog9-airplane3,2024-01-27 09:27:42,'A painting of a dog with a hat on.',dog,0.9996778,K
keyboard6-knife2,2024-01-27 09:27:45,'An abstract painting with a black line in the middle.',airplane,0.9972867,X
clock7-dog2,2024-01-27 09:27:49,'A very blurry image of a square clock',clock,1.0,J
oven5-airplane1,2024-01-27 09:27:52,'A distorted image of a blender in a room.',airplane,0.8612053,X
bicycle5-elephant1,2024-01-27 09:27:56,'A painting of a bicycle is seen in this image.',bicycle,0.99999976,C
truck7-chair2,2024-01-27 09:27:59,'A painting of a truck and some chairs',truck,0.9951906,"G, I"
elephant10-bear1,2024-01-27 09:28:02,"""A close up of a furry animal's face.""",dog,0.9855828,B
keyboard10-keyboard1,2024-01-27 09:28:06,'A black and white photo of a piece of metal.',airplane,0.9190547,X
chair8-keyboard3,2024-01-27 09:28:09,'A blurry photo of a black object on a table',airplane,0.95669335,X
