image,timestamp,response,pred_label,pred_conf,pred_llm_judge
bear6-clock1,2024-02-25 11:53:37,A distorted image of clocks and numbers is shown.,clock,0.9999999,J
bear7-dog3,2024-02-25 11:53:38,A brown bear with a black nose and a white patch on its chest.,bear,0.99999166,B
airplane3-dog1,2024-02-25 11:53:39,A brown dog is laying on a white furry blanket.,dog,0.99866724,K
knife10-oven3,2024-02-25 11:53:40,A distorted image of a computer screen with a keyboard and mouse.,keyboard,0.99972075,M
cat6-keyboard3,2024-02-25 11:53:41,A cat is sitting on a black keyboard.,keyboard,0.7721018,"H, M"
oven7-keyboard1,2024-02-25 11:53:42,A black and white photo of a stack of metal drawers.,airplane,0.5052098,X
knife9-bicycle1,2024-02-25 11:53:43,A distorted image of a motorcycle with a lot of colors and shapes.,airplane,0.6209321,X
clock3-cat1,2024-02-25 11:53:45,A clock with a blurry face and red hands is surrounded by a furry texture.,clock,1.0,J
clock10-bottle1,2024-02-25 11:53:46,A collage of liquor bottles is shown with an alarm clock in the middle.,clock,0.9680523,F
dog8-boat3,2024-02-25 11:53:47,A robot dog is standing in front of a colorful background.,dog,0.99989736,K
oven3-bottle3,2024-02-25 11:53:48,A painting of a green frame with a picture of a cat in it.,cat,0.9980646,H
chair7-bottle1,2024-02-25 11:53:49,A chair is made of various liquor bottles and is surrounded by more bottles.,chair,0.8986366,"I, F"
elephant5-truck1,2024-02-25 11:53:50,A red elephant with a white background and a red border.,elephant,1.0,L
oven4-truck3,2024-02-25 11:53:52,A distorted image of a car with a yellow light on top.,car,0.9928504,G
clock3-car2,2024-02-25 11:53:53,A distorted image of a clock with a red rim and red second hand.,clock,1.0,J
chair8-clock3,2024-02-25 11:53:54,A distorted image of a chair with clocks all around it.,clock,0.9004863,"I, J"
clock7-boat3,2024-02-25 11:53:55,A distorted image of a clock with red frame and green hands.,clock,1.0,J
boat3-keyboard2,2024-02-25 11:53:56,A distorted image of a keyboard with the letters P and O visible.,keyboard,0.9999918,"M, O, P"
bear2-knife2,2024-02-25 11:53:57,A painting of a bear is shown with a brick wall in the background.,bear,0.9999982,B
elephant4-clock3,2024-02-25 11:53:58,An elephant is made up of clocks and watches.,elephant,0.9998733,X
elephant6-bird1,2024-02-25 11:53:59,A blue and white elephant is standing on a sandy ground.,elephant,0.9999975,L
car8-chair1,2024-02-25 11:54:00,A distorted image of a row of pink seats.,airplane,0.6771189,I
bicycle2-keyboard2,2024-02-25 11:54:02,A blurry image of a car dashboard with a speedometer and other buttons.,car,0.9899607,G
boat4-car3,2024-02-25 11:54:03,A distorted image of a parking lot with cars and trees.,car,0.9842301,"G, O, P"
knife5-dog1,2024-02-25 11:54:04,A close up of a furry material with a brown stripe in the middle.,dog,0.87784714,X
bear4-car3,2024-02-25 11:54:05,A distorted image of a red car with a bear in the background.,bear,0.9013232,"G, B"
truck7-oven2,2024-02-25 11:54:06,A large white truck with a black bottom is parked in a lot.,truck,0.9999988,P
bear8-boat2,2024-02-25 11:54:07,A painting of a bear is shown with a distorted background.,bear,0.9999714,B
chair7-chair1,2024-02-25 11:54:08,A distorted image of a red chair in a room.,chair,0.99999654,I
dog2-bicycle2,2024-02-25 11:54:09,A distorted image of a large group of bicycles.,bicycle,0.9999949,C
cat10-keyboard1,2024-02-25 11:54:10,A black and white photo of a metal object with a blurry background.,airplane,0.9847199,X
dog5-car3,2024-02-25 11:54:12,A distorted image of a red car with a blurry background.,car,0.99896514,G
truck1-car3,2024-02-25 11:54:13,A distorted image of a red truck with a man laying under it.,truck,0.9999994,P
oven6-bird1,2024-02-25 11:54:14,A blurry image of a turkey in a glass dish.,bird,0.8031891,X
car4-car2,2024-02-25 11:54:15,A red sports car with a yellow spoiler is shown in a distorted image.,car,0.9963882,G
dog4-clock1,2024-02-25 11:54:16,A painting of a dog with a clock for a head.,clock,0.9949845,K J
car8-bicycle2,2024-02-25 11:54:17,A silver car is surrounded by a lot of silver chairs.,chair,0.97983336,"G, I"
keyboard7-clock3,2024-02-25 11:54:18,A distorted image of clocks with different times and colors.,clock,1.0,J
elephant4-bicycle2,2024-02-25 11:54:19,A bunch of bikes are parked together in a lot.,bicycle,0.9999615,C
knife10-bear3,2024-02-25 11:54:20,A fuzzy animal with brown and black fur is shown in a close up.,dog,0.97548,B
airplane5-bear2,2024-02-25 11:54:21,A blurry image of a bird with a white background.,bird,0.9997322,D
bicycle4-car2,2024-02-25 11:54:22,A distorted image of a red motorcycle with a blurry background.,truck,0.5392199,G
dog3-dog1,2024-02-25 11:54:23,A brown dog is laying on a brown furry blanket.,dog,0.99933016,K
