image,timestamp,response,pred_label,pred_conf,pred_llm_judge
bottle1-dog2,2024-02-04 22:16:43,"A bottle of wine is in the center of the image, surrounded by a textured background.",bottle,0.9999999,F
knife8-bicycle1,2024-02-04 22:16:53,A pile of colorful objects on top of each other in front of a gray background.,airplane,0.95693946,X
cat7-airplane2,2024-02-04 22:17:03,A cat is sitting on top of an abstract painting with blue and yellow colors.,cat,0.99984586,H
bird8-bottle1,2024-02-04 22:17:12,A collage of bottles and jars with a bird silhouette in the center.,bottle,0.7833028,F
elephant9-bicycle2,2024-02-04 22:17:22,A silver and black abstract painting with red accents.,airplane,0.9066086,X
elephant10-knife3,2024-02-04 22:17:31,A black and white abstract painting with a gray background.,airplane,0.9718384,X
car3-elephant3,2024-02-04 22:17:40,A car is parked on a dirt road.,car,0.95080024,G
cat1-car2,2024-02-04 22:17:50,A cat is peeking out from behind a colorful background.,cat,0.9999968,H
elephant8-bird2,2024-02-04 22:18:01,A herd of elephants walking away from the camera.,elephant,1.0,L
dog6-bird1,2024-02-04 22:18:10,A dog with its tongue sticking out.,dog,0.99998677,K
airplane4-bear3,2024-02-04 22:18:19,A cat is sleeping on a bed.,cat,0.99999964,H
airplane3-chair3,2024-02-04 22:18:29,A group of blue chairs in front of a white wall.,chair,0.999946,I
boat4-boat3,2024-02-04 22:18:38,A boat is in the water.,boat,1.0,E
car8-bicycle2,2024-02-04 22:18:51,A silver car is parked on a street.,car,0.9997702,G
knife4-knife2,2024-02-04 22:19:00,A knife is in the middle of the image.,knife,1.0,N
car10-keyboard2,2024-02-04 22:19:09,键盘的特写镜头。,cat,0.76896,M
oven9-car2,2024-02-04 22:19:20,A red and black suitcase with a black handle.,airplane,0.9224578,X
bird9-elephant2,2024-02-04 22:19:30,A bird is sitting on a branch in front of a brown background.,bird,0.9999417,D
knife4-clock3,2024-02-04 22:19:39,图片中有很多扭曲的钟表。,keyboard,0.3263804,J
knife5-knife3,2024-02-04 22:19:48,A black and white painting of an abstract design on canvas.,airplane,0.8833407,X
boat2-airplane1,2024-02-04 22:20:03,A shoe is on top of some papers.,airplane,0.51156986,X
truck6-clock2,2024-02-04 22:20:13,A water truck is parked on the side of a road.,truck,0.9999615,P
truck7-keyboard3,2024-02-04 22:20:24,A computer keyboard with keys glowing in different colors.,keyboard,1.0,M
bicycle4-bottle1,2024-02-04 22:20:33,"A bicycle is surrounded by bottles of alcohol and other drinks, creating an abstract scene that highlights the theme of drinking culture in society. The arrangement suggests a party atmosphere or celebration where people gather to socialize over beverages.",bottle,0.99646676,"C, F"
keyboard6-boat2,2024-02-04 22:20:43,"A computer keyboard and mouse on an abstract background of geometric shapes in red, orange, yellow, white, gray, black, blue, purple, pink, green, brown, and tan colors.",keyboard,0.9999982,X
bear10-chair2,2024-02-04 22:20:52,A large group of chairs in a room.,chair,1.0,I
dog4-elephant2,2024-02-04 22:21:06,A dog with a long nose and ears sits on a textured surface.,dog,0.9996327,K
bear7-oven3,2024-02-04 22:21:15,A large machine with many buttons and dials.,clock,0.8941789,J
bird5-keyboard2,2024-02-04 22:21:24,A bird is perched on top of computer keys.,bird,0.90919197,D
keyboard6-dog2,2024-02-04 22:21:33,键盘和鼠标放在毛皮上。,keyboard,0.8722385,X
clock10-bottle1,2024-02-04 22:21:42,A collage of bottle caps in the shape of an alarm clock.,clock,0.99243975,J
boat2-oven3,2024-02-04 22:21:51,A gray and white abstract painting with a black frame.,airplane,0.9723502,X
clock5-oven1,2024-02-04 22:22:00,A large clock with black hands and numbers is displayed against a gray background.,clock,1.0,J
car4-cat3,2024-02-04 22:22:09,A yellow car with a black stripe on the side.,car,0.998444,G
bird10-chair1,2024-02-04 22:22:18,Pink and black chairs in a room.,chair,0.9999993,I
elephant3-keyboard2,2024-02-04 22:22:27,A computer keyboard with keys overlapping each other.,keyboard,1.0,M
car10-bicycle2,2024-02-04 22:22:37,A car is in an abstract background of silver and white shapes.,car,0.9997348,G
chair9-bird3,2024-02-04 22:22:46,A red office chair with wheels on a white background.,chair,0.9999995,I
oven3-clock3,2024-02-04 22:22:55,A large clock with many smaller clocks inside it.,clock,1.0,J
bird8-keyboard2,2024-02-04 22:23:03,键盘,keyboard,0.6020392,X
boat7-bottle1,2024-02-04 22:23:17,A collage of bottles and jars in various shapes and sizes.,bottle,1.0,F
elephant6-bottle2,2024-02-04 22:23:27,A collection of wine bottles with colorful tops.,bottle,1.0,F
bicycle7-bear2,2024-02-04 22:23:36,A bicycle is parked on a white surface with fur texture.,bicycle,0.999998,C
clock10-oven2,2024-02-04 22:23:46,A blue and black alarm clock on a gray background.,clock,1.0,J
boat10-boat3,2024-02-04 22:23:55,A boat is floating on water.,boat,1.0,E
clock6-chair3,2024-02-04 22:24:06,"The image is a digital art piece featuring a pattern of blue and green chairs arranged in a circular formation. The chairs are stacked on top of each other, creating a layered effect that gives depth to the composition. The colors used in the artwork are predominantly blue and green, with some areas showing a hint of pink and yellow. The overall effect is a visually striking and abstract representation of chairs.",chair,0.9999715,I
car5-keyboard3,2024-02-04 22:24:15,A car with water droplets on it.,car,0.9998264,G
elephant4-bird1,2024-02-04 22:24:29,大象,elephant,0.66132367,X
knife4-airplane3,2024-02-04 22:24:38,这是一张色彩斑斓的抽象画，以蓝色和灰色为主色调。,keyboard,0.84341407,X
bird7-knife2,2024-02-04 22:24:48,A bird is perched on a branch in front of a colorful background.,bird,0.99994314,D
cat10-bird2,2024-02-04 22:24:57,A gray cat is sitting on a white surface.,cat,0.99989367,H
bear8-airplane1,2024-02-04 22:25:07,"A gray and white bear is sitting on its hind legs with its front paws resting on its knees, facing to the right of the frame. The background appears abstract and textured in shades of black and white.",bear,0.9999709,B
