image,response,pred_label
bicycle1-chair1,car,car
bicycle4-keyboard3,clock,clock
bicycle8-bear2,cat,cat
bicycle1-dog3,oven,oven
bicycle7-oven1,knife,knife
bicycle9-airplane2,car,car
bicycle4-chair2,chair,chair
bicycle10-airplane2,car,car
bicycle4-bottle1,clock,clock
bicycle9-bottle1,clock,clock
bicycle4-oven3,truck,truck
bicycle2-car2,bicycle,bicycle
bicycle1-bicycle3,bicycle,bicycle
bicycle10-elephant2,elephant,elephant
bicycle9-keyboard3,bottle,bottle
bicycle8-boat1,bicycle,bicycle
bicycle8-clock3,clock,clock
bicycle7-truck3,bottle,bottle
bicycle9-bird3,bicycle,bicycle
bicycle3-keyboard1,keyboard,keyboard
bicycle1-boat3,bicycle,bicycle
bicycle3-elephant2,elephant,elephant
bicycle9-cat3,cat,cat
bicycle4-clock3,clock,clock
bicycle4-airplane1,clock,clock
bicycle1-bear1,cat,cat
bicycle5-car3,bicycle,bicycle
bicycle9-knife3,clock,clock
bicycle9-chair1,car,car
bicycle8-truck1,car,car
bicycle2-dog1,bear,bear
bicycle3-bird1,bird,bird
bicycle2-knife2,knife,knife
bicycle9-bear1,bear,bear
bicycle3-truck3,truck,truck
bicycle7-cat1,dog,dog
bicycle1-bird1,bottle,bottle
bicycle5-keyboard3,clock,clock
bicycle8-bird2,bicycle,bicycle
bicycle10-dog3,bear,bear
bicycle5-elephant1,elephant,elephant
bicycle7-clock3,clock,clock
bicycle9-car1,car,car
bicycle1-airplane2,car,car
bicycle7-knife2,bicycle,bicycle
bicycle7-elephant2,elephant,elephant
bicycle5-oven3,truck,truck
bicycle2-bird3,bicycle,bicycle
bicycle10-boat3,bicycle,bicycle
bicycle8-chair2,chair,chair
bicycle6-dog2,dog,dog
bicycle10-clock2,clock,clock
bicycle4-truck3,truck,truck
bicycle6-boat2,boat,boat
bicycle4-cat1,cat,cat
bicycle7-bear2,bear,bear
bicycle4-car2,bicycle,bicycle
bicycle5-bear1,cat,cat
bicycle1-bottle3,bicycle,bicycle
bicycle1-oven1,oven,oven
bicycle1-clock3,clock,clock
bicycle4-boat1,bicycle,bicycle
bicycle5-dog2,dog,dog
bicycle3-oven3,truck,truck
bicycle2-keyboard2,clock,clock
bicycle4-bicycle3,bicycle,bicycle
bicycle5-chair2,bicycle,bicycle
bicycle5-cat1,dog,dog
bicycle6-car2,bottle,bottle
bicycle1-knife3,knife,knife
bicycle6-cat1,cat,cat
bicycle6-bicycle3,knife,knife
bicycle1-elephant2,elephant,elephant
bicycle6-airplane2,car,car
bicycle2-bicycle1,bicycle,bicycle
bicycle5-bottle3,clock,clock
bicycle1-truck1,car,car
bicycle7-bicycle2,bicycle,bicycle
bicycle2-bottle1,bottle,bottle
bicycle4-knife3,knife,knife
chair8-bicycle3,chair,chair
chair1-airplane2,car,car
chair4-bear2,bear,bear
chair10-car2,bottle,bottle
chair9-bicycle3,bottle,bottle
chair5-bicycle1,bicycle,bicycle
chair2-bear2,bear,bear
chair7-bottle1,bottle,bottle
chair1-truck3,truck,truck
chair5-knife3,knife,knife
chair3-bicycle3,chair,chair
chair1-chair1,car,car
chair8-boat1,chair,chair
chair9-bird3,oven,oven
chair10-clock1,clock,clock
chair3-car3,car,car
chair7-knife2,knife,knife
chair1-cat3,bird,bird
chair4-cat2,cat,cat
chair8-car1,boat,boat
chair5-clock2,car,car
chair2-knife1,knife,knife
chair4-truck2,bottle,bottle
chair5-bird1,bird,bird
chair7-truck3,car,car
chair1-clock2,bottle,bottle
chair7-cat1,cat,cat
chair3-bottle3,bottle,bottle
chair4-chair3,chair,chair
chair7-chair1,car,car
chair9-keyboard2,keyboard,keyboard
chair8-elephant1,elephant,elephant
chair2-boat1,bottle,bottle
chair3-airplane2,car,car
chair2-keyboard2,bottle,bottle
chair1-elephant1,elephant,elephant
chair1-bear1,bear,bear
chair8-airplane1,knife,knife
chair10-airplane2,car,car
chair5-bottle3,bottle,bottle
chair3-dog2,dog,dog
chair7-bird1,bottle,bottle
chair1-dog1,dog,dog
chair7-boat3,chair,chair
chair6-bird2,bird,bird
chair3-knife1,truck,truck
chair5-boat3,boat,boat
chair9-chair3,chair,chair
chair10-bottle3,bottle,bottle
chair8-clock3,clock,clock
chair1-oven3,oven,oven
chair10-bicycle1,bicycle,bicycle
chair5-truck3,truck,truck
chair7-clock3,bottle,bottle
chair9-boat2,boat,boat
chair9-dog2,dog,dog
chair6-truck2,bottle,bottle
chair6-dog1,dog,dog
chair9-bear1,bear,bear
chair9-bottle3,bottle,bottle
chair6-elephant2,elephant,elephant
chair7-airplane1,clock,clock
chair10-bird3,oven,oven
chair9-elephant1,elephant,elephant
chair4-keyboard2,keyboard,keyboard
chair8-oven1,bottle,bottle
chair7-car2,car,car
chair5-oven2,oven,oven
chair8-chair3,chair,chair
chair7-elephant1,elephant,elephant
chair5-cat3,cat,cat
chair5-car1,car,car
chair10-oven1,oven,oven
chair5-keyboard2,keyboard,keyboard
chair4-oven2,bottle,bottle
chair8-keyboard3,bottle,bottle
chair8-bear1,bear,bear
chair10-dog1,dog,dog
chair10-cat1,dog,dog
chair8-knife2,bottle,bottle
truck3-bicycle1,bicycle,bicycle
truck7-elephant2,elephant,elephant
truck7-boat1,boat,boat
truck4-boat3,truck,truck
truck10-truck3,truck,truck
truck9-chair3,car,car
truck7-bird2,truck,truck
truck2-car3,truck,truck
