image,pred_label
bicycle1-chair1,car
bicycle4-keyboard3,clock
bicycle8-bear2,cat
bicycle1-dog3,dog
bicycle7-oven1,bicycle
bicycle9-airplane2,bicycle
bicycle4-chair2,chair
bicycle10-airplane2,bicycle
bicycle4-bottle1,clock
bicycle9-bottle1,bottle
bicycle4-oven3,clock
bicycle2-car2,bottle
bicycle1-bicycle3,bicycle
bicycle10-elephant2,elephant
bicycle9-keyboard3,clock
bicycle8-boat1,bicycle
bicycle8-clock3,clock
bicycle7-truck3,bottle
bicycle9-bird3,bicycle
bicycle3-keyboard1,bicycle
bicycle1-boat3,bicycle
bicycle3-elephant2,elephant
bicycle9-cat3,bicycle
bicycle4-clock3,clock
bicycle4-airplane1,car
bicycle1-bear1,bear
bicycle5-car3,bicycle
bicycle9-knife3,knife
bicycle9-chair1,car
bicycle8-truck1,bicycle
bicycle2-dog1,bear
bicycle3-bird1,bicycle
bicycle2-knife2,oven
bicycle9-bear1,bear
bicycle3-truck3,chair
bicycle7-cat1,cat
bicycle1-bird1,bicycle
bicycle5-keyboard3,clock
bicycle8-bird2,bicycle
bicycle10-dog3,cat
bicycle5-elephant1,elephant
bicycle7-clock3,clock
bicycle9-car1,bicycle
bicycle1-airplane2,bicycle
bicycle7-knife2,clock
bicycle7-elephant2,elephant
bicycle5-oven3,clock
bicycle2-bird3,bicycle
bicycle10-boat3,truck
bicycle8-chair2,bicycle
bicycle6-dog2,dog
bicycle10-clock2,clock
bicycle4-truck3,truck
bicycle6-boat2,boat
bicycle4-cat1,cat
bicycle7-bear2,bear
bicycle4-car2,bicycle
bicycle5-bear1,elephant
bicycle1-bottle3,clock
bicycle1-oven1,clock
bicycle1-clock3,clock
bicycle4-boat1,bicycle
bicycle5-dog2,dog
bicycle3-oven3,clock
bicycle2-keyboard2,keyboard
bicycle4-bicycle3,bicycle
bicycle5-chair2,boat
bicycle5-cat1,cat
bicycle6-car2,bottle
bicycle1-knife3,knife
bicycle6-cat1,bear
bicycle6-bicycle3,bicycle
bicycle1-elephant2,elephant
bicycle6-airplane2,car
bicycle2-bicycle1,bicycle
bicycle5-bottle3,clock
bicycle1-truck1,bicycle
bicycle7-bicycle2,bicycle
bicycle2-bottle1,bottle
bicycle4-knife3,knife
chair8-bicycle3,chair
chair1-airplane2,car
chair4-bear2,bear
chair10-car2,bottle
chair9-bicycle3,bottle
chair5-bicycle1,chair
chair2-bear2,bear
chair7-bottle1,bottle
chair1-truck3,keyboard
chair5-knife3,knife
chair3-bicycle3,bottle
chair1-chair1,car
chair8-boat1,chair
chair9-bird3,clock
chair10-clock1,clock
chair3-car3,car
chair7-knife2,chair
chair1-cat3,bottle
chair4-cat2,cat
chair8-car1,boat
chair5-clock2,bottle
chair2-knife1,bottle
chair4-truck2,car
chair5-bird1,bird
chair7-truck3,chair
chair1-clock2,bottle
chair7-cat1,dog
chair3-bottle3,bottle
chair4-chair3,chair
chair7-chair1,car
chair9-keyboard2,keyboard
chair8-elephant1,elephant
chair2-boat1,bottle
chair3-airplane2,car
chair2-keyboard2,bottle
chair1-elephant1,elephant
chair1-bear1,elephant
chair8-airplane1,clock
chair10-airplane2,bottle
chair5-bottle3,bottle
chair3-dog2,dog
chair7-bird1,chair
chair1-dog1,dog
chair7-boat3,chair
chair6-bird2,cat
chair3-knife1,chair
chair5-boat3,chair
chair9-chair3,chair
chair10-bottle3,bottle
chair8-clock3,clock
chair1-oven3,oven
chair10-bicycle1,keyboard
chair5-truck3,truck
chair7-clock3,bottle
chair9-boat2,oven
chair9-dog2,dog
chair6-truck2,bottle
chair6-dog1,bear
chair9-bear1,bear
chair9-bottle3,bottle
chair6-elephant2,elephant
chair7-airplane1,airplane
chair10-bird3,knife
chair9-elephant1,elephant
chair4-keyboard2,keyboard
chair8-oven1,bottle
chair7-car2,car
chair5-oven2,oven
chair8-chair3,chair
chair7-elephant1,elephant
chair5-cat3,bottle
chair5-car1,car
chair10-oven1,chair
chair5-keyboard2,keyboard
chair4-oven2,bottle
chair8-keyboard3,bottle
chair8-bear1,elephant
chair10-dog1,dog
chair10-cat1,cat
chair8-knife2,bottle
truck3-bicycle1,bicycle
truck7-elephant2,elephant
truck7-boat1,boat
truck4-boat3,truck
truck10-truck3,truck
truck9-chair3,airplane
truck7-bird2,truck
truck2-car3,truck
truck8-dog3,bear
truck2-bird2,truck
truck6-boat2,boat
truck6-dog2,cat
truck3-knife2,truck
truck10-car3,car
truck9-bottle2,bottle
truck3-oven2,oven
truck4-airplane3,truck
truck4-bottle2,bottle
truck6-knife2,truck
truck2-oven3,oven
truck1-bear1,bear
truck6-clock2,bottle
truck1-chair2,truck
truck1-dog1,bear
truck5-cat3,oven
truck6-bear2,bear
truck4-oven2,truck
truck8-elephant1,elephant
truck8-cat2,cat
truck2-airplane3,airplane
truck2-keyboard1,truck
truck5-airplane2,car
truck6-truck2,truck
truck4-bear1,bear
truck2-boat3,truck
truck9-boat3,truck
truck2-elephant1,elephant
truck5-bird2,truck
truck1-cat1,cat
truck3-dog3,dog
truck6-bottle3,bottle
truck1-car3,car
truck6-cat2,cat
truck9-airplane2,truck
truck7-oven2,truck
truck3-bird2,truck
truck3-chair2,bottle
truck1-bird1,truck
truck2-chair1,car
truck7-chair2,truck
truck6-bicycle1,clock
truck7-keyboard3,bottle
truck10-elephant3,elephant
truck1-knife1,truck
truck3-cat1,cat
truck8-bottle2,bottle
truck9-truck3,truck
truck3-clock3,clock
truck5-truck1,truck
truck10-bicycle1,bicycle
truck6-oven3,oven
truck3-keyboard3,keyboard
truck5-knife3,knife
truck4-knife1,knife
truck3-car3,car
truck5-dog3,bear
truck10-airplane1,truck
truck2-clock1,truck
truck7-truck2,truck
truck3-bear3,bear
truck8-keyboard2,keyboard
truck2-bottle3,bottle
truck10-clock1,truck
truck5-keyboard1,oven
truck1-bicycle3,car
truck2-bicycle2,car
truck5-car1,truck
truck7-bear2,bear
truck9-elephant1,elephant
truck1-clock3,truck
bottle6-dog3,dog
bottle1-clock1,bottle
bottle1-keyboard3,bottle
bottle1-car1,boat
bottle6-bicycle3,bottle
bottle5-bird3,bottle
bottle8-bottle3,bottle
bottle3-bird1,oven
bottle7-airplane3,clock
bottle8-keyboard3,bottle
bottle3-boat3,boat
bottle9-bicycle1,bottle
bottle10-boat3,bottle
bottle4-car3,chair
bottle9-truck1,bottle
bottle4-bicycle1,bottle
bottle6-boat3,bottle
bottle4-oven2,bottle
bottle5-cat1,cat
bottle1-dog2,dog
bottle9-bottle1,bottle
bottle2-knife3,bottle
bottle7-elephant2,elephant
bottle3-airplane2,bottle
bottle7-boat3,clock
bottle2-elephant1,elephant
bottle1-cat3,bottle
bottle2-chair3,chair
bottle6-oven3,oven
bottle5-chair1,car
bottle9-elephant2,elephant
bottle8-bird1,bottle
bottle9-cat2,bird
bottle6-airplane1,clock
bottle5-elephant1,elephant
bottle2-car2,boat
bottle1-bear1,bear
bottle5-knife1,bottle
bottle4-truck1,bottle
bottle9-car3,car
bottle8-dog2,bottle
bottle3-cat3,bottle
bottle10-clock2,bottle
bottle7-keyboard2,bottle
bottle1-bird3,bottle
bottle3-bottle3,bottle
bottle5-boat1,bottle
bottle5-keyboard2,bottle
bottle7-bear1,bear
bottle4-dog2,dog
bottle7-clock1,clock
bottle5-oven2,bottle
bottle3-knife3,bottle
bottle10-bear2,elephant
bottle7-oven2,bottle
bottle6-bear2,bear
bottle6-knife3,bottle
bottle6-bird1,bear
bottle6-bottle3,bottle
bottle1-chair2,chair
bottle3-bicycle3,bottle
bottle5-airplane1,knife
bottle9-keyboard1,bottle
bottle4-airplane1,airplane
bottle3-bear2,bear
bottle8-knife1,bottle
bottle8-elephant3,elephant
bottle5-clock3,clock
bottle3-chair3,chair
bottle10-car1,bottle
bottle2-bottle3,bottle
bottle6-chair2,chair
bottle2-clock1,bottle
bottle10-truck3,bottle
bottle9-oven2,bottle
bottle7-truck2,truck
bottle7-cat2,cat
bottle8-bicycle1,bicycle
bottle10-dog1,bear
bottle5-truck1,bottle
knife10-oven3,clock
knife5-cat2,cat
knife4-clock3,bottle
knife6-oven3,oven
knife7-boat3,oven
knife9-bird1,bird
knife6-truck1,bottle
knife5-truck3,truck
knife9-airplane2,car
knife9-elephant2,elephant
knife1-oven1,clock
knife1-clock2,clock
knife2-elephant2,elephant
knife4-car2,boat
knife6-bicycle1,keyboard
knife2-truck2,chair
knife6-chair3,airplane
knife8-truck3,truck
knife6-clock2,bottle
knife3-bear2,bear
knife5-knife3,knife
knife5-dog1,bear
knife9-bottle2,bottle
knife5-oven2,oven
knife6-bottle3,bottle
knife5-keyboard3,bottle
knife2-bird1,bird
knife2-bottle2,bottle
knife7-bird3,knife
knife1-airplane1,clock
knife6-boat3,oven
knife3-keyboard3,bottle
knife2-bear2,bear
knife4-knife2,knife
knife8-bicycle1,bicycle
knife10-elephant3,elephant
knife2-car3,car
knife3-clock2,bottle
knife4-airplane3,airplane
knife2-cat3,bird
knife1-keyboard3,knife
knife8-car2,boat
knife2-bicycle3,bottle
knife1-truck2,truck
knife4-boat1,boat
knife2-dog1,dog
knife1-chair1,airplane
knife1-elephant1,elephant
knife1-bird2,oven
knife9-bicycle1,bicycle
knife6-knife1,bottle
knife9-bear3,bird
knife10-dog1,bear
knife3-cat1,cat
knife4-keyboard1,bicycle
knife10-bear3,bear
knife5-bicycle2,car
knife3-knife1,knife
knife8-cat2,cat
knife10-chair1,airplane
knife4-bear1,cat
knife7-chair2,chair
knife4-cat2,cat
knife1-dog1,bear
knife5-clock1,clock
knife6-airplane1,airplane
knife7-bottle3,bottle
knife8-boat1,car
knife8-bottle3,bottle
knife7-airplane3,knife
knife6-bird1,bottle
knife10-keyboard3,knife
knife7-car2,boat
knife1-car3,car
knife9-boat1,boat
knife6-dog2,dog
knife9-chair1,airplane
knife7-elephant2,elephant
knife4-oven2,oven
knife10-knife1,bottle
cat7-knife2,knife
cat4-oven1,clock
cat1-keyboard3,bottle
cat8-bear1,bear
cat4-dog3,dog
cat7-truck2,car
cat8-bird2,cat
cat4-knife1,oven
cat1-airplane1,clock
cat5-airplane2,car
cat6-keyboard3,bottle
cat4-clock2,clock
cat9-truck1,bottle
cat9-bottle2,bottle
cat5-bear2,cat
cat9-dog2,cat
cat4-cat3,bird
cat10-oven2,oven
cat6-clock3,clock
cat2-boat2,knife
cat7-dog3,cat
cat2-knife3,knife
cat4-airplane1,clock
cat10-elephant3,elephant
cat2-truck3,car
cat5-bicycle3,cat
cat9-clock2,bottle
cat6-chair3,airplane
cat7-clock3,keyboard
cat7-airplane2,bottle
cat5-knife2,oven
cat10-bird2,cat
cat1-car2,boat
cat5-boat1,keyboard
cat5-chair3,airplane
cat2-car3,chair
cat8-car2,bottle
cat5-elephant2,elephant
cat9-boat2,chair
cat10-bicycle1,bicycle
cat3-bear2,bear
cat6-bear1,bear
cat10-bear1,bear
cat9-cat3,cat
cat4-chair2,chair
cat1-dog1,cat
cat10-airplane3,airplane
cat10-keyboard1,keyboard
cat1-boat1,boat
cat7-elephant1,elephant
cat1-chair2,chair
cat4-truck3,truck
cat5-car2,bicycle
cat4-car2,boat
cat3-oven2,oven
cat7-boat3,bottle
cat8-bicycle3,knife
cat5-keyboard3,cat
cat2-bottle3,bottle
cat4-bird2,bird
cat9-knife2,knife
cat9-bicycle1,bicycle
cat5-bottle1,bottle
cat2-cat1,cat
cat9-chair2,chair
cat10-clock1,clock
cat3-bicycle1,bicycle
cat10-bottle1,bottle
cat1-oven1,truck
cat7-bottle1,bottle
cat1-cat3,cat
cat9-bird3,cat
cat6-oven1,truck
cat1-bird1,cat
cat2-elephant1,elephant
cat5-dog3,cat
cat3-cat1,cat
cat3-truck3,truck
cat3-elephant2,elephant
cat4-keyboard2,bottle
boat4-car3,car
boat1-bear1,bear
boat7-clock3,clock
boat8-elephant1,elephant
boat3-bicycle2,bicycle
boat6-car1,car
boat1-elephant3,elephant
boat6-bear1,bear
boat2-bottle2,bottle
boat9-keyboard2,oven
boat7-elephant3,elephant
boat10-oven1,car
boat6-bottle2,bottle
boat2-oven3,oven
boat6-clock2,bottle
boat5-knife2,knife
boat4-elephant2,elephant
boat6-airplane2,boat
boat5-clock3,clock
boat7-bottle1,bottle
boat10-truck1,bottle
boat1-truck3,truck
boat1-car2,car
boat1-bird3,bird
boat5-airplane1,airplane
boat6-dog1,bear
boat2-bear3,bear
boat9-chair2,chair
boat9-bird1,oven
boat8-oven1,boat
boat10-bear3,bear
boat5-car3,car
boat3-clock3,clock
