image,timestamp,response,pred_label,pred_conf,pred_llm_judge
elephant8-elephant1,2024-02-04 18:12:36,The image shows a close-up of three elephants with wrinkled skin.,elephant,1.0,L
car9-cat1,2024-02-04 18:12:37,"The image is a painting of a car, which is depicted in a stylized and colorful manner.",car,0.99971634,G
truck8-keyboard2,2024-02-04 18:12:37,The image is a close-up of a computer keyboard with the number pad visible.,keyboard,0.9999931,M
bottle10-bear2,2024-02-04 18:12:38,"The image features a bottle of alcohol, specifically Drambuie, sitting on a white surface.",bottle,0.99999976,F
elephant5-car1,2024-02-04 18:12:39,The image is a colorful painting of a car show with various colored cars and a yellow car in the foreground.,car,0.999613,G
chair4-chair3,2024-02-04 18:12:40,"The image is a collage of chairs, some of which are blue, and some are white.",chair,0.9999982,I
chair9-boat2,2024-02-04 18:12:40,"The image is a colorful, abstract painting of a chair.",chair,0.99999964,I
oven2-bicycle1,2024-02-04 18:12:42,"The image is a collage of various pictures, including a picture of a cell phone, a picture of a computer, and a picture of a laptop.",airplane,0.9873713,X
chair4-oven2,2024-02-04 18:12:43,The image is a black and white photo of a chair with a person's arm and hand in it.,chair,0.9999796,I
elephant8-knife2,2024-02-04 18:12:44,"The image is a painting of a person's hand, with the hand holding a cell phone. The painting is in black and white, giving it a unique and artistic appearance.",airplane,0.94254184,X
keyboard4-truck3,2024-02-04 18:12:44,A colorful painting of a car and a truck.,truck,0.97997594,"G, P"
chair7-bird1,2024-02-04 18:12:45,The image is a close-up of a blue chair with a white background.,chair,0.99998,I
dog8-keyboard3,2024-02-04 18:12:46,A black and white photo of a person's hand and feet.,airplane,0.83510834,X
bird1-truck1,2024-02-04 18:12:46,The image is a close-up of a red heart with a blurry background.,elephant,0.36958197,X
car8-bear1,2024-02-04 18:12:47,A close up of a brown dog laying on a blanket.,dog,0.999716,H
clock8-knife1,2024-02-04 18:12:48,"The image is a close-up of a clock face, with a close-up view of the numbers on the clock.",clock,1.0,J
truck7-bird2,2024-02-04 18:12:49,The image is a black and white photo of a semi-truck with a trailer.,truck,0.99999297,P
truck2-bird2,2024-02-04 18:12:49,A truck is parked in front of a building.,truck,1.0,P
elephant9-dog3,2024-02-04 18:12:50,A dog with a black nose and brown fur is standing on a white background.,dog,0.99985754,K
bottle4-dog2,2024-02-04 18:12:50,"A bottle is shown in a close-up, with a blurry background.",bottle,1.0,F
knife1-oven1,2024-02-04 18:12:51,"The image is a black and white photo of a gun, possibly a gun shot, with a blurry background.",airplane,0.98039925,X
keyboard1-clock1,2024-02-04 18:12:52,"The image is a collage of clocks, with one clock having a hole in it.",clock,0.9999999,J
boat5-knife2,2024-02-04 18:12:53,"The image is a collage of various papers, including a piece of paper with a drawing of a fish on it.",boat,0.4747196,X
clock4-chair1,2024-02-04 18:12:54,The image is a blurry photo of a theater with a clock on the wall.,clock,0.99999654,J
knife6-oven3,2024-02-04 18:12:55,"The image is a collage of various pictures, including a picture of a phone, a picture of a keyboard, and a picture of a computer screen.",keyboard,0.7957339,X
chair5-car1,2024-02-04 18:12:56,"The image is a collage of various colored cars, with some of them being blurry.",car,0.9967141,G
bear3-bicycle2,2024-02-04 18:12:56,A close up of a metal object with a red dot on it.,airplane,0.8946269,X
keyboard8-truck3,2024-02-04 18:12:57,The image is a painting of a chair with a yellow leg and a blue leg.,chair,0.9999982,I
bear2-cat2,2024-02-04 18:12:57,A blurry image of a bear.,bear,0.99999857,B
elephant3-oven1,2024-02-04 18:12:58,A close up of a leg of a statue with a blurry background.,airplane,0.7711107,X
keyboard5-oven2,2024-02-04 18:12:59,The image is a black and white photo of a city with buildings in the background.,airplane,0.981219,X
dog1-bear1,2024-02-04 18:12:59,A dog with a brown coat is looking at the camera.,dog,0.9999317,K
keyboard9-boat2,2024-02-04 18:13:00,The image is a colorful painting of a helicopter with a lot of different colors and shapes.,airplane,0.99957937,X
oven4-bicycle2,2024-02-04 18:13:01,A blurry image of a car with a seat and a steering wheel in it.,car,0.98937184,G
keyboard7-boat2,2024-02-04 18:13:02,"The image is a collage of various pictures, with a focus on a red and black picture.",airplane,0.98275244,X
bird9-keyboard1,2024-02-04 18:13:02,A black bird is standing on a surface with a blurry background.,bird,0.9996985,D
elephant8-dog1,2024-02-04 18:13:03,The image is a painting of three elephants in a field.,elephant,0.99999976,L
knife3-cat1,2024-02-04 18:13:03,"The image is a close up of a cat's fur, with a blurry background.",cat,0.9999912,H
dog3-boat1,2024-02-04 18:13:04,A man is sitting in a chair with a colorful background.,chair,0.9999999,I
