image,response,pred_label,pred_conf
bicycle1-chair1,chair,chair,0.95856804
bicycle4-keyboard3,keyboard,keyboard,0.5327577
bicycle8-bear2,bicycle,bicycle,0.95932716
bicycle1-dog3,bicycle,bicycle,0.854831
bicycle7-oven1,bicycle,bicycle,0.8992513
bicycle9-airplane2,clock,clock,0.32822576
bicycle4-chair2,chair,chair,0.789248
bicycle10-airplane2,bicycle,bicycle,0.22778194
bicycle4-bottle1,bottle,bottle,0.8362757
bicycle9-bottle1,bottle,bottle,0.8217607
bicycle4-oven3,oven,oven,0.39597455
bicycle2-car2,bicycle,bicycle,0.24799971
bicycle1-bicycle3,bicycle,bicycle,0.85398793
bicycle10-elephant2,bicycle,bicycle,0.9817051
bicycle9-keyboard3,clock,clock,0.25856602
bicycle8-boat1,bicycle,bicycle,0.8747818
bicycle8-clock3,clock,clock,0.9714982
bicycle7-truck3,chair,chair,0.2434071
bicycle9-bird3,bicycle,bicycle,0.87595755
bicycle3-keyboard1,bicycle,bicycle,0.7384958
bicycle1-boat3,bicycle,bicycle,0.32008606
bicycle3-elephant2,bicycle,bicycle,0.3767904
bicycle9-cat3,bicycle,bicycle,0.7833658
bicycle4-clock3,clock,clock,0.96309984
bicycle4-airplane1,bicycle,bicycle,0.75481486
bicycle1-bear1,cat,cat,0.40496582
bicycle5-car3,car,car,0.8144485
bicycle9-knife3,chair,chair,0.42978495
bicycle9-chair1,chair,chair,0.78547186
bicycle8-truck1,bicycle,bicycle,0.3030679
bicycle2-dog1,cat,cat,0.42037717
bicycle3-bird1,bicycle,bicycle,0.56262594
bicycle2-knife2,bicycle,bicycle,0.71641403
bicycle9-bear1,cat,cat,0.6602483
bicycle3-truck3,truck,truck,0.59617835
bicycle7-cat1,bicycle,bicycle,0.6984513
bicycle1-bird1,bicycle,bicycle,0.7945261
bicycle5-keyboard3,keyboard,keyboard,0.58048105
bicycle8-bird2,bicycle,bicycle,0.99882734
bicycle10-dog3,bottle,bottle,0.31744012
bicycle5-elephant1,bicycle,bicycle,0.96432793
bicycle7-clock3,clock,clock,0.9788049
bicycle9-car1,bicycle,bicycle,0.20555957
bicycle1-airplane2,bicycle,bicycle,0.8125374
bicycle7-knife2,bicycle,bicycle,0.5224066
bicycle7-elephant2,bicycle,bicycle,0.95442444
bicycle5-oven3,oven,oven,0.8873378
bicycle2-bird3,bicycle,bicycle,0.829928
bicycle10-boat3,boat,boat,0.40967473
bicycle8-chair2,bicycle,bicycle,0.4966168
bicycle6-dog2,bicycle,bicycle,0.6950248
bicycle10-clock2,clock,clock,0.9813539
bicycle4-truck3,chair,chair,0.74283844
bicycle6-boat2,bicycle,bicycle,0.42325506
bicycle4-cat1,bicycle,bicycle,0.77655697
bicycle7-bear2,bicycle,bicycle,0.6464581
