image,timestamp,response,pred_llm_judge,pred_label,pred_conf
bird8-chair1,2024-02-14 12:25:16,A blurry image of a room with pink chairs.,I,chair,0.9999025
boat5-boat3,2024-02-14 12:25:17,A painting of a ship with a city in the background.,E,boat,0.9462065
elephant9-clock3,2024-02-14 12:25:17,A painting of an elephant with a clock face on it.,"L, J",elephant,0.9992409
boat3-chair3,2024-02-14 12:25:18,A painting of a city with blue and gray colors.,X,airplane,0.97683984
cat5-elephant2,2024-02-14 12:25:18,A cat is sitting on a brown surface with its ears perked up.,H,cat,0.9998442
truck2-airplane3,2024-02-14 12:25:19,A truck with a tank on the back is driving on a road.,P,truck,1.0
oven2-dog3,2024-02-14 12:25:20,A blurry image of a cat's face with a white background.,H,cat,0.99999154
cat9-chair2,2024-02-14 12:25:20,A painting of a room with wooden chairs and tables.,I,chair,0.9998555
bird7-keyboard3,2024-02-14 12:25:21,A blurry image of a black object in a brown background.,X,airplane,0.98280495
elephant8-airplane3,2024-02-14 12:25:22,A painting of a group of people with abstract colors.,X,airplane,0.9517588
chair1-dog1,2024-02-14 12:25:22,A furry texture with a brown and white color scheme.,X,bear,0.9226328
keyboard5-bird3,2024-02-14 12:25:23,A painting of a cake with a white background.,X,oven,0.8803917
boat9-chair2,2024-02-14 12:25:24,A painting of a city with a blurry background and wooden chairs in the foreground.,I,chair,0.9980661
airplane4-elephant1,2024-02-14 12:25:25,A close up of a grayish-white surface with a pattern of lines and curves.,X,airplane,0.98314214
bicycle3-keyboard1,2024-02-14 12:25:25,A blurry image of a bicycle with a black seat and handlebars.,C,bicycle,0.9999981
knife10-chair1,2024-02-14 12:25:26,A blurry image of a room with red chairs.,I,chair,0.9999821
dog5-oven1,2024-02-14 12:25:27,A blurry image of a person's head with a black and white background.,X,airplane,0.9124289
cat5-bear2,2024-02-14 12:25:27,A cat is sitting on a blanket with its eyes open.,H,cat,0.9999988
boat10-oven1,2024-02-14 12:25:28,A blurry image of a boat with the number 65 on it.,E,boat,0.9999987
airplane9-airplane2,2024-02-14 12:25:29,A painting of a blue airplane flying in the sky.,A,airplane,1.0
bicycle10-elephant2,2024-02-14 12:25:30,A bicycle is shown in a blurry image with a brown background.,C,bicycle,0.9999995
truck6-bicycle1,2024-02-14 12:25:30,"A painting of a truck with the word ""water"" on it.",P,truck,0.99990034
bear8-truck3,2024-02-14 12:25:31,A painting of a bear with a blue and orange color scheme.,B,bear,0.9999237
chair8-car1,2024-02-14 12:25:32,A painting of a colorful car scene with a red car in the center.,G,car,0.9999385
oven6-bird1,2024-02-14 12:25:32,A blurry image of a blue object in a container.,X,bottle,0.8391725
bear3-keyboard2,2024-02-14 12:25:33,A blurry image of a computer keyboard with a black background.,M,keyboard,0.9999987
bicycle9-bird3,2024-02-14 12:25:34,A bicycle is shown in a painting with a blurry background.,C,bicycle,0.99999964
keyboard3-cat1,2024-02-14 12:25:34,A blurry image of a furry texture with a brown stripe in the middle.,B,dog,0.5161193
clock4-bird3,2024-02-14 12:25:35,A clock with a wooden frame and a white face with black numbers and hands.,J,clock,1.0
truck6-cat2,2024-02-14 12:25:36,"A blurry image of a car with the word ""water"" written on it.",G,car,0.92841196
dog6-truck2,2024-02-14 12:25:37,A red car is shown in a blurry image with a gray background.,G,car,0.9991623
oven2-bear3,2024-02-14 12:25:37,A close-up of a brown furry texture with a blurry background.,B,dog,0.6681674
