image,pred_label
bicycle1-chair1,bicycle
bicycle4-keyboard3,clock
bicycle8-bear2,bicycle
bicycle1-dog3,bicycle
bicycle7-oven1,clock
bicycle9-airplane2,bicycle
bicycle4-chair2,chair
bicycle10-airplane2,bicycle
bicycle4-bottle1,bicycle
bicycle9-bottle1,bottle
bicycle4-oven3,bicycle
bicycle2-car2,bicycle
bicycle1-bicycle3,bicycle
bicycle10-elephant2,elephant
bicycle9-keyboard3,clock
bicycle8-boat1,bicycle
bicycle8-clock3,clock
bicycle7-truck3,bottle
bicycle9-bird3,bicycle
bicycle3-keyboard1,bicycle
bicycle1-boat3,bicycle
bicycle3-elephant2,knife
bicycle9-cat3,bottle
bicycle4-clock3,bicycle
bicycle4-airplane1,bicycle
bicycle1-bear1,elephant
bicycle5-car3,bicycle
bicycle9-knife3,knife
bicycle9-chair1,bicycle
bicycle8-truck1,bicycle
bicycle2-dog1,bear
bicycle3-bird1,bicycle
bicycle2-knife2,bicycle
bicycle9-bear1,bear
bicycle3-truck3,clock
bicycle7-cat1,bicycle
bicycle1-bird1,bicycle
bicycle5-keyboard3,clock
bicycle8-bird2,bicycle
bicycle10-dog3,cat
bicycle5-elephant1,elephant
bicycle7-clock3,bicycle
bicycle9-car1,bicycle
bicycle1-airplane2,bicycle
bicycle7-knife2,knife
bicycle7-elephant2,elephant
bicycle5-oven3,oven
bicycle2-bird3,bicycle
bicycle10-boat3,bicycle
bicycle8-chair2,bicycle
bicycle6-dog2,bear
bicycle10-clock2,clock
bicycle4-truck3,clock
bicycle6-boat2,bicycle
bicycle4-cat1,cat
bicycle7-bear2,bicycle
bicycle4-car2,bicycle
bicycle5-bear1,clock
bicycle1-bottle3,bicycle
bicycle1-oven1,bicycle
bicycle1-clock3,bicycle
bicycle4-boat1,bicycle
bicycle5-dog2,clock
bicycle3-oven3,truck
bicycle2-keyboard2,bicycle
bicycle4-bicycle3,bicycle
bicycle5-chair2,bicycle
bicycle5-cat1,knife
bicycle6-car2,car
bicycle1-knife3,knife
bicycle6-cat1,cat
bicycle6-bicycle3,bicycle
bicycle1-elephant2,elephant
bicycle6-airplane2,car
bicycle2-bicycle1,bicycle
bicycle5-bottle3,bicycle
bicycle1-truck1,bicycle
bicycle7-bicycle2,bicycle
bicycle2-bottle1,bottle
bicycle4-knife3,knife
chair8-bicycle3,chair
chair1-airplane2,chair
chair4-bear2,cat
chair10-car2,bottle
chair9-bicycle3,chair
chair5-bicycle1,chair
chair2-bear2,chair
chair7-bottle1,chair
chair1-truck3,chair
chair5-knife3,knife
chair3-bicycle3,chair
chair1-chair1,chair
chair8-boat1,chair
