image,timestamp,response,pred_label,pred_conf,pred_llm_judge
chair5-clock2,2024-02-03 19:38:24,The image is blurry and out of focus.,airplane,0.98405564,X
knife10-knife1,2024-02-03 19:38:25,"The image is a blurry, abstract representation of a guitar.",airplane,0.8544331,X
clock7-bottle2,2024-02-03 19:38:25,Clock with bottles.,clock,0.97776586,"J, F"
boat3-keyboard2,2024-02-03 19:38:26,Blurry image of a keyboard.,keyboard,1.0,M
elephant6-bicycle1,2024-02-03 19:38:27,"The image is a digital artwork of an elephant with a baby elephant. The elephants are surrounded by a chaotic, abstract pattern of shapes and colors.",elephant,0.9999999,"L, M"
car1-airplane1,2024-02-03 19:38:28,"The image is a blurry, pixelated photograph of a motorcycle.",airplane,0.8597176,X
bottle1-bird3,2024-02-03 19:38:29,A blurry image of a bottle.,bottle,1.0,F
car6-truck3,2024-02-03 19:38:30,"The image is a close-up of a car's wheel, with a blurred background.",car,0.9969438,G
knife10-chair1,2024-02-03 19:38:30,Blurry image of pink seats.,chair,0.71873987,X
boat2-bottle2,2024-02-03 19:38:31,Blurry image of various bottles.,bottle,1.0,F
elephant9-clock3,2024-02-03 19:38:32,The image is a close-up of a clock with a blurred background.,clock,1.0,J
keyboard9-boat2,2024-02-03 19:38:33,"The image is a colorful, abstract collage of various objects and scenes, including a car and a person.",car,0.99546105,G
elephant2-truck2,2024-02-03 19:38:33,Abstract art with red and black elements.,airplane,0.8537662,X
bear8-boat2,2024-02-03 19:38:34,Abstract art.,airplane,0.7448068,X
airplane7-keyboard1,2024-02-03 19:38:34,The image is blurry and out of focus.,airplane,0.9840559,X
car6-bicycle3,2024-02-03 19:38:35,The image is a close-up of a car wheel.,car,0.98760706,G
keyboard1-clock1,2024-02-03 19:38:36,"The image is a close-up of a clock with a blurred background, featuring various numbers and symbols.",clock,1.0,J
dog3-boat1,2024-02-03 19:38:37,Abstract art with blurred colors and shapes.,airplane,0.92534566,X
airplane7-bottle3,2024-02-03 19:38:38,"The image is a close-up of a bunch of green bottles with white labels, possibly containing a green liquid. The labels have Chinese characters on them.",bottle,0.9999999,F
keyboard4-cat2,2024-02-03 19:38:39,Blurry image of a surface with a pattern.,airplane,0.9828311,X
chair9-bird3,2024-02-03 19:38:40,"The image is a blurry, abstract representation of a chair with a red and white color scheme.",chair,0.99999833,I
bear4-keyboard3,2024-02-03 19:38:40,Blurry image of a black object.,airplane,0.98972356,X
bicycle1-knife3,2024-02-03 19:38:41,Bicycle parts.,bicycle,1.0,C
elephant5-bear2,2024-02-03 19:38:41,An elephant walking on a sandy surface.,elephant,0.9999999,L
elephant7-bottle3,2024-02-03 19:38:42,The image is a digital artwork featuring a stylized elephant.,elephant,1.0,L
bird5-bear3,2024-02-03 19:38:42,Bird.,bird,1.0,D
clock8-keyboard1,2024-02-03 19:38:43,A close-up of a clock face with a blurred background.,clock,1.0,J
truck2-clock1,2024-02-03 19:38:47,"The image is a collage of various elements, including a clock face, a truck, and what appears to be a piece of paper with writing on it. The clock face is prominent, with numbers and hands visible, and it's placed in the upper right corner of the image. The truck is depicted in the lower left corner, and it's made up of multiple pieces of paper. The writing on the paper in the lower right corner is not legible. The overall style of the image is abstract and appears to be a creative representation of these objects.",clock,0.9505329,"T, C, J"
knife4-airplane3,2024-02-03 19:38:48,Blurry image of a black object with a blue background.,airplane,0.995765,X
keyboard7-chair3,2024-02-03 19:38:49,A blurry image of chairs.,chair,0.9999994,I
car8-dog1,2024-02-03 19:38:49,Blurry image of a car.,car,0.99956006,G
oven9-oven1,2024-02-03 19:38:50,A blurry image of a toaster oven.,oven,0.9999994,O
chair10-car2,2024-02-03 19:38:51,"The image is a blurry, colorful collage of various objects.",airplane,0.98774964,X
knife6-oven3,2024-02-03 19:38:51,Abstract art.,airplane,0.7448068,X
bicycle3-bird1,2024-02-03 19:38:52,Bicycle on a blurry surface.,bicycle,1.0,C
bottle8-keyboard3,2024-02-03 19:38:54,"The image is blurry and indistinct, making it difficult to discern any specific details. It appears to be a close-up of a black object with a pattern of holes or indentations. The focus is on the object, and the background is out of focus, which suggests that the object is the main subject of the image.",airplane,0.9969234,X
airplane10-boat3,2024-02-03 19:38:58,"The image is a vibrant and colorful abstract art piece featuring a large airplane. The plane is depicted in a distorted and surreal manner, with its body stretching across the canvas and its wings spread out. The background is a blend of various colors and patterns, creating a sense of depth and complexity. The overall style of the image is reminiscent of a psychedelic or surrealist art genre.",airplane,1.0,A
truck7-bird2,2024-02-03 19:38:58,A truck.,truck,1.0,P
bird9-dog2,2024-02-03 19:38:58,Bird perched on branch.,bird,0.99991333,D
chair2-bear2,2024-02-03 19:38:59,A blurry image of a wooden chair with a woven seat.,chair,0.9999999,I
bird3-truck3,2024-02-03 19:39:00,Colorful abstract image with blurred shapes and lines.,airplane,0.9486075,X
chair7-cat1,2024-02-03 19:39:00,A brown chair with a fluffy texture.,chair,0.9999999,I
bicycle2-bottle1,2024-02-03 19:39:03,"The image is a collage of various objects, predominantly bottles, arranged in a chaotic manner. The bottles are of different shapes, sizes, and colors, creating a visually busy and cluttered scene. The background is blurred, making it difficult to discern any specific details.",bottle,0.9999708,X
bottle8-bird1,2024-02-03 19:39:04,A blurry bottle of beer.,bottle,1.0,F
bear4-clock3,2024-02-03 19:39:04,An elephant with clocks for eyes.,elephant,0.9999932,"J
L"
boat4-elephant2,2024-02-03 19:39:06,"The image is a close-up of a textured surface with a pattern of lines and ridges. The color palette is muted, with shades of brown and gray.",airplane,0.9656974,X
knife9-bear3,2024-02-03 19:39:06,Blurry image of a cat.,cat,0.99998975,H
bird8-keyboard2,2024-02-03 19:39:07,Blurry keyboard keys.,keyboard,1.0,M
elephant10-elephant1,2024-02-03 19:39:08,"The image is a close-up of an elephant's skin, showing the wrinkled texture and pattern of its skin.",elephant,1.0,L
bottle6-bird1,2024-02-03 19:39:08,A blue water bottle.,bottle,1.0,F
chair8-boat1,2024-02-03 19:39:09,Abstract art with vibrant colors and shapes.,airplane,0.6373192,X
keyboard7-oven2,2024-02-03 19:39:09,The image is blurry and out of focus.,airplane,0.9840559,X
bird10-clock1,2024-02-03 19:39:10,"The image is a collage of various clocks and other objects, creating a chaotic and abstract pattern.",clock,0.99999475,J
boat9-bear3,2024-02-03 19:39:11,Blurry image of a brown object with a texture that resembles fur.,bear,0.35471457,B
chair4-bear2,2024-02-03 19:39:12,Blurry image of a chair.,chair,0.99999976,I
dog3-truck2,2024-02-03 19:39:13,"The image is blurry and abstract, featuring a red and black object in the center.",airplane,0.9715308,X
chair5-keyboard2,2024-02-03 19:39:13,Blurry image of a keyboard.,keyboard,1.0,M
