image,response,pred_label
bicycle1-chair1,chair,chair
bicycle4-keyboard3,clock,clock
bicycle8-bear2,bicycle,bicycle
bicycle1-dog3,bicycle,bicycle
bicycle7-oven1,bicycle,bicycle
bicycle9-airplane2,bicycle,bicycle
bicycle4-chair2,chair,chair
bicycle10-airplane2,bicycle,bicycle
bicycle4-bottle1,bottle,bottle
bicycle9-bottle1,bottle,bottle
bicycle4-oven3,oven,oven
bicycle2-car2,bicycle,bicycle
bicycle1-bicycle3,bicycle,bicycle
bicycle10-elephant2,bicycle,bicycle
bicycle9-keyboard3,keyboard,keyboard
bicycle8-boat1,bicycle,bicycle
bicycle8-clock3,clock,clock
bicycle7-truck3,chair,chair
bicycle9-bird3,bicycle,bicycle
bicycle3-keyboard1,bicycle,bicycle
bicycle1-boat3,bicycle,bicycle
bicycle3-elephant2,bicycle,bicycle
bicycle9-cat3,bicycle,bicycle
bicycle4-clock3,clock,clock
bicycle4-airplane1,bicycle,bicycle
bicycle1-bear1,bicycle,bicycle
bicycle5-car3,bicycle,bicycle
bicycle9-knife3,knife,knife
bicycle9-chair1,chair,chair
bicycle8-truck1,bicycle,bicycle
bicycle2-dog1,cat,cat
bicycle3-bird1,bicycle,bicycle
bicycle2-knife2,bottle,bottle
bicycle9-bear1,cat,cat
bicycle3-truck3,bottle,bottle
bicycle7-cat1,bicycle,bicycle
bicycle1-bird1,bicycle,bicycle
bicycle5-keyboard3,bottle,bottle
bicycle8-bird2,bicycle,bicycle
bicycle10-dog3,bicycle,bicycle
bicycle5-elephant1,bicycle,bicycle
bicycle7-clock3,clock,clock
bicycle9-car1,bicycle,bicycle
bicycle1-airplane2,bicycle,bicycle
bicycle7-knife2,bicycle,bicycle
bicycle7-elephant2,bicycle,bicycle
bicycle5-oven3,oven,oven
bicycle2-bird3,bicycle,bicycle
bicycle10-boat3,bicycle,bicycle
bicycle8-chair2,chair,chair
bicycle6-dog2,bicycle,bicycle
bicycle10-clock2,clock,clock
bicycle4-truck3,chair,chair
bicycle6-boat2,bicycle,bicycle
bicycle4-cat1,bicycle,bicycle
bicycle7-bear2,bear,bear
bicycle4-car2,bicycle,bicycle
bicycle5-bear1,cat,cat
bicycle1-bottle3,bottle,bottle
bicycle1-oven1,bicycle,bicycle
bicycle1-clock3,clock,clock
bicycle4-boat1,bicycle,bicycle
bicycle5-dog2,bicycle,bicycle
bicycle3-oven3,oven,oven
bicycle2-keyboard2,keyboard,keyboard
bicycle4-bicycle3,bicycle,bicycle
bicycle5-chair2,chair,chair
bicycle5-cat1,bicycle,bicycle
bicycle6-car2,boat,boat
bicycle1-knife3,knife,knife
bicycle6-cat1,cat,cat
bicycle6-bicycle3,bicycle,bicycle
bicycle1-elephant2,bicycle,bicycle
bicycle6-airplane2,clock,clock
bicycle2-bicycle1,bicycle,bicycle
bicycle5-bottle3,bicycle,bicycle
bicycle1-truck1,bicycle,bicycle
bicycle7-bicycle2,bicycle,bicycle
bicycle2-bottle1,bottle,bottle
bicycle4-knife3,knife,knife
chair8-bicycle3,chair,chair
chair1-airplane2,chair,chair
chair4-bear2,bear,bear
chair10-car2,bottle,bottle
chair9-bicycle3,chair,chair
chair5-bicycle1,chair,chair
chair2-bear2,bear,bear
chair7-bottle1,bottle,bottle
chair1-truck3,chair,chair
chair5-knife3,knife,knife
chair3-bicycle3,chair,chair
chair1-chair1,chair,chair
chair8-boat1,chair,chair
chair9-bird3,chair,chair
chair10-clock1,clock,clock
chair3-car3,car,car
chair7-knife2,keyboard,keyboard
chair1-cat3,clock,clock
chair4-cat2,cat,cat
chair8-car1,car,car
chair5-clock2,chair,chair
chair2-knife1,chair,chair
chair4-truck2,bottle,bottle
chair5-bird1,chair,chair
chair7-truck3,chair,chair
chair1-clock2,clock,clock
chair7-cat1,chair,chair
chair3-bottle3,bottle,bottle
chair4-chair3,chair,chair
chair7-chair1,chair,chair
chair9-keyboard2,keyboard,keyboard
chair8-elephant1,elephant,elephant
chair2-boat1,chair,chair
chair3-airplane2,chair,chair
chair2-keyboard2,keyboard,keyboard
chair1-elephant1,elephant,elephant
chair1-bear1,bear,bear
chair8-airplane1,knife,knife
chair10-airplane2,bottle,bottle
chair5-bottle3,bottle,bottle
chair3-dog2,chair,chair
chair7-bird1,chair,chair
chair1-dog1,bear,bear
chair7-boat3,chair,chair
chair6-bird2,chair,chair
chair3-knife1,knife,knife
chair5-boat3,chair,chair
chair9-chair3,chair,chair
chair10-bottle3,bottle,bottle
chair8-clock3,clock,clock
chair1-oven3,oven,oven
chair10-bicycle1,chair,chair
chair5-truck3,chair,chair
chair7-clock3,clock,clock
chair9-boat2,chair,chair
chair9-dog2,clock,clock
chair6-truck2,chair,chair
chair6-dog1,chair,chair
chair9-bear1,bear,bear
chair9-bottle3,bottle,bottle
chair6-elephant2,elephant,elephant
chair7-airplane1,chair,chair
chair10-bird3,chair,chair
chair9-elephant1,elephant,elephant
chair4-keyboard2,keyboard,keyboard
chair8-oven1,bottle,bottle
chair7-car2,chair,chair
chair5-oven2,chair,chair
chair8-chair3,chair,chair
chair7-elephant1,chair,chair
chair5-cat3,oven,oven
chair5-car1,car,car
chair10-oven1,chair,chair
chair5-keyboard2,keyboard,keyboard
chair4-oven2,chair,chair
chair8-keyboard3,bottle,bottle
chair8-bear1,bear,bear
chair10-dog1,bear,bear
chair10-cat1,chair,chair
chair8-knife2,bottle,bottle
truck3-bicycle1,bicycle,bicycle
truck7-elephant2,elephant,elephant
truck7-boat1,boat,boat
truck4-boat3,truck,truck
truck10-truck3,truck,truck
truck9-chair3,chair,chair
truck7-bird2,truck,truck
truck2-car3,truck,truck
truck8-dog3,dog,dog
truck2-bird2,truck,truck
truck6-boat2,truck,truck
truck6-dog2,bottle,bottle
truck3-knife2,truck,truck
truck10-car3,car,car
truck9-bottle2,bottle,bottle
truck3-oven2,truck,truck
truck4-airplane3,truck,truck
truck4-bottle2,bottle,bottle
truck6-knife2,truck,truck
truck2-oven3,oven,oven
truck1-bear1,bear,bear
truck6-clock2,bottle,bottle
truck1-chair2,chair,chair
truck1-dog1,bear,bear
truck5-cat3,truck,truck
truck6-bear2,bear,bear
truck4-oven2,truck,truck
truck8-elephant1,truck,truck
truck8-cat2,cat,cat
truck2-airplane3,airplane,airplane
truck2-keyboard1,truck,truck
truck5-airplane2,truck,truck
truck6-truck2,car,car
truck4-bear1,bear,bear
truck2-boat3,truck,truck
truck9-boat3,truck,truck
truck2-elephant1,truck,truck
truck5-bird2,truck,truck
truck1-cat1,cat,cat
truck3-dog3,dog,dog
truck6-bottle3,bottle,bottle
truck1-car3,truck,truck
truck6-cat2,bottle,bottle
truck9-airplane2,truck,truck
truck7-oven2,truck,truck
truck3-bird2,truck,truck
truck3-chair2,chair,chair
truck1-bird1,truck,truck
truck2-chair1,chair,chair
truck7-chair2,chair,chair
truck6-bicycle1,bottle,bottle
truck7-keyboard3,keyboard,keyboard
truck10-elephant3,elephant,elephant
truck1-knife1,truck,truck
truck3-cat1,dog,dog
truck8-bottle2,bottle,bottle
truck9-truck3,truck,truck
truck3-clock3,clock,clock
truck5-truck1,truck,truck
truck10-bicycle1,truck,truck
truck6-oven3,oven,oven
truck3-keyboard3,keyboard,keyboard
truck5-knife3,knife,knife
truck4-knife1,knife,knife
truck3-car3,car,car
truck5-dog3,oven,oven
truck10-airplane1,truck,truck
truck2-clock1,clock,clock
truck7-truck2,truck,truck
truck3-bear3,bear,bear
truck8-keyboard2,keyboard,keyboard
truck2-bottle3,bottle,bottle
truck10-clock1,clock,clock
truck5-keyboard1,truck,truck
truck1-bicycle3,truck,truck
truck2-bicycle2,truck,truck
truck5-car1,car,car
truck7-bear2,bear,bear
truck9-elephant1,truck,truck
truck1-clock3,clock,clock
bottle6-dog3,dog,dog
bottle1-clock1,bottle,bottle
bottle1-keyboard3,bottle,bottle
bottle1-car1,bottle,bottle
bottle6-bicycle3,bottle,bottle
bottle5-bird3,bottle,bottle
bottle8-bottle3,bottle,bottle
